model,content_id,category,format,record_idx,rm_score,finish_reason,n_tokens
llama3:8b,bs001,bodily_state,clinical,0,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,1,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,2,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,3,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,4,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,5,0.13916015625,stop,256
llama3:8b,bs001,bodily_state,clinical,6,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,7,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,8,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,9,0.13916015625,length,300
llama3:8b,bs002,bodily_state,clinical,0,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,1,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,2,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,3,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,4,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,5,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,6,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,7,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,8,0.135986328125,length,300
llama3:8b,bs002,bodily_state,clinical,9,0.135986328125,length,300
llama3:8b,bs003,bodily_state,clinical,0,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,1,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,2,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,3,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,4,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,5,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,6,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,7,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,8,0.12078857421875,length,300
llama3:8b,bs003,bodily_state,clinical,9,0.12078857421875,length,300
llama3:8b,bs004,bodily_state,clinical,0,0.1314697265625,stop,281
llama3:8b,bs004,bodily_state,clinical,1,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,2,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,3,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,4,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,5,0.1314697265625,stop,278
llama3:8b,bs004,bodily_state,clinical,6,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,7,0.1314697265625,stop,267
llama3:8b,bs004,bodily_state,clinical,8,0.1314697265625,length,300
llama3:8b,bs004,bodily_state,clinical,9,0.1314697265625,stop,272
llama3:8b,bs005,bodily_state,clinical,0,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,1,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,2,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,3,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,4,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,5,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,6,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,7,0.130859375,stop,277
llama3:8b,bs005,bodily_state,clinical,8,0.130859375,length,300
llama3:8b,bs005,bodily_state,clinical,9,0.130859375,length,300
llama3:8b,bs006,bodily_state,clinical,0,0.1036376953125,stop,25
llama3:8b,bs006,bodily_state,clinical,1,0.1036376953125,length,300
llama3:8b,bs006,bodily_state,clinical,2,0.1036376953125,length,300
