mode,content_id,category,format_i,format_j,d_repr,p_ij,bias
b,bs001,bodily_state,clinical,direct,0.0283815860748291,0.30891358852386475,0.19108641147613525
b,bs001,bodily_state,clinical,data,0.07218855619430542,0.7973663806915283,0.2973663806915283
b,bs001,bodily_state,clinical,code,0.0651313066482544,0.02039012499153614,0.47960987500846386
b,bs001,bodily_state,clinical,fiction,0.10052216053009033,0.9976413249969482,0.49764132499694824
b,bs001,bodily_state,direct,data,0.076022207736969,0.8451509475708008,0.3451509475708008
b,bs001,bodily_state,direct,code,0.08052921295166016,0.13460348546504974,0.36539651453495026
b,bs001,bodily_state,direct,fiction,0.08474308252334595,0.9991903901100159,0.49919039011001587
b,bs001,bodily_state,data,code,0.05945408344268799,0.046529509127140045,0.45347049087285995
b,bs001,bodily_state,data,fiction,0.15623259544372559,0.995567262172699,0.495567262172699
b,bs001,bodily_state,code,fiction,0.1891382336616516,0.998506486415863,0.49850648641586304
b,bs002,bodily_state,clinical,direct,0.017678558826446533,0.00933004915714264,0.49066995084285736
b,bs002,bodily_state,clinical,data,0.0763016939163208,0.02826046571135521,0.4717395342886448
b,bs002,bodily_state,clinical,code,0.05093538761138916,0.305195689201355,0.19480431079864502
b,bs002,bodily_state,clinical,fiction,0.09137833118438721,0.7657813429832458,0.26578134298324585
b,bs002,bodily_state,direct,data,0.07601028680801392,0.2559628188610077,0.2440371811389923
b,bs002,bodily_state,direct,code,0.06037569046020508,0.9662882089614868,0.4662882089614868
b,bs002,bodily_state,direct,fiction,0.0835527777671814,0.9042819142341614,0.4042819142341614
b,bs002,bodily_state,data,code,0.03875291347503662,0.9904712438583374,0.4904712438583374
b,bs002,bodily_state,data,fiction,0.15401911735534668,0.9971561431884766,0.49715614318847656
b,bs002,bodily_state,code,fiction,0.15460002422332764,0.6356161832809448,0.13561618328094482
b,bs003,bodily_state,clinical,direct,0.048869311809539795,0.43454256653785706,0.06545743346214294
b,bs003,bodily_state,clinical,data,0.0912359356880188,0.02198731154203415,0.47801268845796585
b,bs003,bodily_state,clinical,code,0.10833936929702759,0.9345098733901978,0.43450987339019775
b,bs003,bodily_state,clinical,fiction,0.10196536779403687,0.0002607252972666174,0.4997392747027334
b,bs003,bodily_state,direct,data,0.07782936096191406,0.6786944270133972,0.17869442701339722
b,bs003,bodily_state,direct,code,0.07574522495269775,0.9986860156059265,0.4986860156059265
b,bs003,bodily_state,direct,fiction,0.13094043731689453,0.00012509548105299473,0.499874904518947
b,bs003,bodily_state,data,code,0.06620121002197266,0.9859776496887207,0.4859776496887207
b,bs003,bodily_state,data,fiction,0.16633808612823486,7.117290078895167e-05,0.49992882709921105
b,bs003,bodily_state,code,fiction,0.2292311191558838,9.694848267827183e-05,0.49990305151732173
b,bs004,bodily_state,clinical,direct,0.05723470449447632,0.49064892530441284,0.009351074695587158
b,bs004,bodily_state,clinical,data,0.09191852807998657,0.015513928607106209,0.4844860713928938
b,bs004,bodily_state,clinical,code,0.08217495679855347,0.2680043578147888,0.23199564218521118
b,bs004,bodily_state,clinical,fiction,0.103756844997406,0.9078413844108582,0.40784138441085815
b,bs004,bodily_state,direct,data,0.11109036207199097,0.8325748443603516,0.33257484436035156
b,bs004,bodily_state,direct,code,0.08616757392883301,0.9210460186004639,0.42104601860046387
b,bs004,bodily_state,direct,fiction,0.1072920560836792,0.9996380805969238,0.49963808059692383
b,bs004,bodily_state,data,code,0.07829314470291138,0.7226427793502808,0.22264277935028076
b,bs004,bodily_state,data,fiction,0.15727394819259644,0.9996022582054138,0.4996022582054138
b,bs004,bodily_state,code,fiction,0.19417834281921387,0.9885182976722717,0.48851829767227173
b,bs005,bodily_state,clinical,direct,0.04614222049713135,0.004934570286422968,0.49506542971357703
b,bs005,bodily_state,clinical,data,0.09936583042144775,0.0005000006640329957,0.499499999335967
b,bs005,bodily_state,clinical,code,0.07863593101501465,0.002389509929344058,0.49761049007065594
b,bs005,bodily_state,clinical,fiction,0.1051742434501648,0.17863167822360992,0.3213683217763901
b,bs005,bodily_state,direct,data,0.14249736070632935,0.020262109115719795,0.4797378908842802
b,bs005,bodily_state,direct,code,0.13197863101959229,0.29378318786621094,0.20621681213378906
b,bs005,bodily_state,direct,fiction,0.09133845567703247,0.9756877422332764,0.47568774223327637
b,bs005,bodily_state,data,code,0.06040436029434204,0.9856458306312561,0.4856458306312561
b,bs005,bodily_state,data,fiction,0.1793925166130066,0.9987393021583557,0.4987393021583557
b,bs005,bodily_state,code,fiction,0.20396161079406738,0.9363263845443726,0.43632638454437256
b,bs006,bodily_state,clinical,direct,0.03559976816177368,0.9189534783363342,0.41895347833633423
b,bs006,bodily_state,clinical,data,0.10332697629928589,0.3452360928058624,0.15476390719413757
b,bs006,bodily_state,clinical,code,0.08586353063583374,0.9753795266151428,0.4753795266151428
b,bs006,bodily_state,clinical,fiction,0.11566734313964844,0.9329182505607605,0.4329182505607605
b,bs006,bodily_state,direct,data,0.10157513618469238,0.05071696639060974,0.44928303360939026
b,bs006,bodily_state,direct,code,0.07947194576263428,0.27875077724456787,0.22124922275543213
b,bs006,bodily_state,direct,fiction,0.1479947566986084,0.12237372249364853,0.37762627750635147
b,bs006,bodily_state,data,code,0.06480264663696289,0.6641667485237122,0.16416674852371216
b,bs006,bodily_state,data,fiction,0.1868475079536438,0.41625314950942993,0.08374685049057007
b,bs006,bodily_state,code,fiction,0.2218196988105774,0.586573600769043,0.08657360076904297
b,bs007,bodily_state,clinical,direct,0.021722137928009033,0.6924882531166077,0.19248825311660767
b,bs007,bodily_state,clinical,data,0.07001477479934692,0.18525175750255585,0.31474824249744415
b,bs007,bodily_state,clinical,code,0.0732221007347107,0.27318307757377625,0.22681692242622375
b,bs007,bodily_state,clinical,fiction,0.08621841669082642,0.006451976951211691,0.4935480230487883
b,bs007,bodily_state,direct,data,0.07750767469406128,0.13701730966567993,0.36298269033432007
b,bs007,bodily_state,direct,code,0.09723567962646484,0.015998829156160355,0.48400117084383965
b,bs007,bodily_state,direct,fiction,0.07793128490447998,0.0490923635661602,0.4509076364338398
b,bs007,bodily_state,data,code,0.06324821710586548,0.7236289381980896,0.2236289381980896
b,bs007,bodily_state,data,fiction,0.13813120126724243,0.5496269464492798,0.049626946449279785
b,bs007,bodily_state,code,fiction,0.19085419178009033,0.8831104636192322,0.3831104636192322
b,bs008,bodily_state,clinical,direct,0.029807090759277344,0.9973381161689758,0.49733811616897583
b,bs008,bodily_state,clinical,data,0.078502357006073,0.9829613566398621,0.48296135663986206
b,bs008,bodily_state,clinical,code,0.06831502914428711,0.9643279910087585,0.46432799100875854
b,bs008,bodily_state,clinical,fiction,0.12181508541107178,0.996264636516571,0.49626463651657104
b,bs008,bodily_state,direct,data,0.0705370306968689,0.3600691258907318,0.1399308741092682
b,bs008,bodily_state,direct,code,0.06488692760467529,0.030997207388281822,0.4690027926117182
b,bs008,bodily_state,direct,fiction,0.10822504758834839,0.9376773834228516,0.43767738342285156
b,bs008,bodily_state,data,code,0.050170958042144775,0.005916108842939138,0.49408389115706086
b,bs008,bodily_state,data,fiction,0.1584368348121643,0.794565737247467,0.29456573724746704
b,bs008,bodily_state,code,fiction,0.19443827867507935,0.8980745077133179,0.39807450771331787
b,dc001,deception,clinical,direct,0.06109970808029175,0.422913521528244,0.07708647847175598
b,dc001,deception,clinical,data,0.11099553108215332,0.062215909361839294,0.4377840906381607
b,dc001,deception,clinical,code,0.10661745071411133,0.028948869556188583,0.4710511304438114
b,dc001,deception,clinical,fiction,0.11492502689361572,0.3915369510650635,0.10846304893493652
b,dc001,deception,direct,data,0.10398757457733154,0.23322735726833344,0.26677264273166656
b,dc001,deception,direct,code,0.0868687629699707,0.13850286602973938,0.3614971339702606
b,dc001,deception,direct,fiction,0.119270920753479,0.8329335451126099,0.33293354511260986
b,dc001,deception,data,code,0.07190406322479248,0.8445280194282532,0.3445280194282532
b,dc001,deception,data,fiction,0.19375741481781006,0.9236275553703308,0.4236275553703308
b,dc001,deception,code,fiction,0.22400015592575073,0.9895125031471252,0.48951250314712524
b,dc002,deception,clinical,direct,0.05278509855270386,0.0004081086372025311,0.49959189136279747
b,dc002,deception,clinical,data,0.13307946920394897,0.0002607493952382356,0.49973925060476176
b,dc002,deception,clinical,code,0.0915755033493042,0.04206717759370804,0.45793282240629196
b,dc002,deception,clinical,fiction,0.10658425092697144,0.0010021566413342953,0.4989978433586657
b,dc002,deception,direct,data,0.08707857131958008,0.01578492298722267,0.48421507701277733
b,dc002,deception,direct,code,0.051015496253967285,0.9798076152801514,0.47980761528015137
b,dc002,deception,direct,fiction,0.07501709461212158,0.5357046127319336,0.035704612731933594
b,dc002,deception,data,code,0.068992018699646,0.9992109537124634,0.4992109537124634
b,dc002,deception,data,fiction,0.17704850435256958,0.997816801071167,0.497816801071167
b,dc002,deception,code,fiction,0.1326790452003479,0.06833618134260178,0.4316638186573982
b,dc003,deception,clinical,direct,0.06932759284973145,0.003648152807727456,0.49635184719227254
b,dc003,deception,clinical,data,0.09926056861877441,0.00535599235445261,0.4946440076455474
b,dc003,deception,clinical,code,0.10002821683883667,0.12320661544799805,0.37679338455200195
b,dc003,deception,clinical,fiction,0.11115026473999023,0.020373834297060966,0.47962616570293903
b,dc003,deception,direct,data,0.1262798309326172,0.13716882467269897,0.362831175327301
b,dc003,deception,direct,code,0.12169378995895386,0.9276242256164551,0.4276242256164551
b,dc003,deception,direct,fiction,0.09464514255523682,0.42978617548942566,0.07021382451057434
b,dc003,deception,data,code,0.07153552770614624,0.985774040222168,0.48577404022216797
b,dc003,deception,data,fiction,0.19203603267669678,0.5062016248703003,0.006201624870300293
b,dc003,deception,code,fiction,0.21868616342544556,0.06632065773010254,0.43367934226989746
b,dc004,deception,clinical,direct,0.04456174373626709,0.06140889227390289,0.4385911077260971
b,dc004,deception,clinical,data,0.10970979928970337,0.3341158926486969,0.1658841073513031
b,dc004,deception,clinical,code,0.0863848328590393,0.3341158926486969,0.1658841073513031
b,dc004,deception,clinical,fiction,0.10977661609649658,0.4957447648048401,0.004255235195159912
b,dc004,deception,direct,data,0.09110689163208008,0.9518817067146301,0.4518817067146301
b,dc004,deception,direct,code,0.08547854423522949,0.9518817067146301,0.4518817067146301
b,dc004,deception,direct,fiction,0.10387146472930908,0.9975253939628601,0.4975253939628601
b,dc004,deception,data,code,0.06447511911392212,0.5342446565628052,0.034244656562805176
b,dc004,deception,data,fiction,0.17976146936416626,0.7059757113456726,0.2059757113456726
b,dc004,deception,code,fiction,0.19481170177459717,0.16780038177967072,0.3321996182203293
b,dc005,deception,clinical,direct,0.06352502107620239,0.2094549536705017,0.2905450463294983
b,dc005,deception,clinical,data,0.11312514543533325,0.010597842745482922,0.4894021572545171
b,dc005,deception,clinical,code,0.09225684404373169,0.6469449400901794,0.14694494009017944
b,dc005,deception,clinical,fiction,0.1032988429069519,0.00570927606895566,0.49429072393104434
b,dc005,deception,direct,data,0.08650970458984375,0.8263970017433167,0.32639700174331665
b,dc005,deception,direct,code,0.06642508506774902,0.7169626355171204,0.21696263551712036
