model,content_id,category,format_i,format_j,rm_delta,rm_delta_clean
llama3:8b,bs001,bodily_state,clinical,direct,0.0023193359375,0.0023193359375
llama3:8b,bs001,bodily_state,clinical,data,-0.02117919921875,-0.02117919921875
llama3:8b,bs001,bodily_state,clinical,code,-0.03350830078125,-0.03350830078125
llama3:8b,bs001,bodily_state,clinical,fiction,-0.0147705078125,-0.0147705078125
llama3:8b,bs001,bodily_state,direct,data,-0.02349853515625,-0.02349853515625
llama3:8b,bs001,bodily_state,direct,code,-0.03582763671875,-0.03582763671875
llama3:8b,bs001,bodily_state,direct,fiction,-0.01708984375,-0.01708984375
llama3:8b,bs001,bodily_state,data,code,-0.0123291015625,-0.0123291015625
llama3:8b,bs001,bodily_state,data,fiction,0.00640869140625,0.00640869140625
llama3:8b,bs001,bodily_state,code,fiction,0.01873779296875,0.01873779296875
llama3:8b,bs002,bodily_state,clinical,direct,0.00244140625,nan
llama3:8b,bs002,bodily_state,clinical,data,-0.01263427734375,nan
llama3:8b,bs002,bodily_state,clinical,code,-0.030029296875,nan
llama3:8b,bs002,bodily_state,clinical,fiction,-0.0167236328125,nan
llama3:8b,bs002,bodily_state,direct,data,-0.01507568359375,nan
llama3:8b,bs002,bodily_state,direct,code,-0.032470703125,nan
llama3:8b,bs002,bodily_state,direct,fiction,-0.0191650390625,nan
llama3:8b,bs002,bodily_state,data,code,-0.01739501953125,-0.01739501953125
llama3:8b,bs002,bodily_state,data,fiction,-0.00408935546875,-0.00408935546875
llama3:8b,bs002,bodily_state,code,fiction,0.0133056640625,0.0133056640625
llama3:8b,bs003,bodily_state,clinical,direct,-0.00347900390625,nan
llama3:8b,bs003,bodily_state,clinical,data,-0.00439453125,nan
llama3:8b,bs003,bodily_state,clinical,code,-0.0135498046875,nan
llama3:8b,bs003,bodily_state,clinical,fiction,-0.0069580078125,nan
llama3:8b,bs003,bodily_state,direct,data,-0.00091552734375,-0.00091552734375
llama3:8b,bs003,bodily_state,direct,code,-0.01007080078125,-0.01007080078125
llama3:8b,bs003,bodily_state,direct,fiction,-0.00347900390625,-0.00347900390625
llama3:8b,bs003,bodily_state,data,code,-0.0091552734375,-0.0091552734375
llama3:8b,bs003,bodily_state,data,fiction,-0.0025634765625,-0.0025634765625
llama3:8b,bs003,bodily_state,code,fiction,0.006591796875,0.006591796875
llama3:8b,bs004,bodily_state,clinical,direct,-0.0081787109375,-0.0081787109375
llama3:8b,bs004,bodily_state,clinical,data,-0.0301513671875,-0.0301513671875
llama3:8b,bs004,bodily_state,clinical,code,-0.033203125,-0.033203125
llama3:8b,bs004,bodily_state,clinical,fiction,-0.027099609375,-0.027099609375
llama3:8b,bs004,bodily_state,direct,data,-0.02197265625,-0.02197265625
llama3:8b,bs004,bodily_state,direct,code,-0.0250244140625,-0.0250244140625
llama3:8b,bs004,bodily_state,direct,fiction,-0.0189208984375,-0.0189208984375
llama3:8b,bs004,bodily_state,data,code,-0.0030517578125,-0.0030517578125
llama3:8b,bs004,bodily_state,data,fiction,0.0030517578125,0.0030517578125
llama3:8b,bs004,bodily_state,code,fiction,0.006103515625,0.006103515625
llama3:8b,bs005,bodily_state,clinical,direct,0.00390625,nan
llama3:8b,bs005,bodily_state,clinical,data,-0.01898193359375,-0.01898193359375
llama3:8b,bs005,bodily_state,clinical,code,-0.0081787109375,-0.0081787109375
llama3:8b,bs005,bodily_state,clinical,fiction,-0.0108642578125,-0.0108642578125
llama3:8b,bs005,bodily_state,direct,data,-0.02288818359375,nan
llama3:8b,bs005,bodily_state,direct,code,-0.0120849609375,nan
llama3:8b,bs005,bodily_state,direct,fiction,-0.0147705078125,nan
llama3:8b,bs005,bodily_state,data,code,0.01080322265625,0.01080322265625
llama3:8b,bs005,bodily_state,data,fiction,0.00811767578125,0.00811767578125
llama3:8b,bs005,bodily_state,code,fiction,-0.002685546875,-0.002685546875
llama3:8b,bs006,bodily_state,clinical,direct,-0.01190185546875,-0.01190185546875
llama3:8b,bs006,bodily_state,clinical,data,-0.01617431640625,-0.01617431640625
llama3:8b,bs006,bodily_state,clinical,code,-0.0244140625,-0.0244140625
llama3:8b,bs006,bodily_state,clinical,fiction,-0.045654296875,-0.045654296875
llama3:8b,bs006,bodily_state,direct,data,-0.0042724609375,-0.0042724609375
llama3:8b,bs006,bodily_state,direct,code,-0.01251220703125,-0.01251220703125
llama3:8b,bs006,bodily_state,direct,fiction,-0.03375244140625,-0.03375244140625
llama3:8b,bs006,bodily_state,data,code,-0.00823974609375,-0.00823974609375
llama3:8b,bs006,bodily_state,data,fiction,-0.02947998046875,-0.02947998046875
llama3:8b,bs006,bodily_state,code,fiction,-0.021240234375,-0.021240234375
llama3:8b,bs007,bodily_state,clinical,direct,-0.005126953125,nan
llama3:8b,bs007,bodily_state,clinical,data,-0.02630615234375,-0.02630615234375
llama3:8b,bs007,bodily_state,clinical,code,-0.023193359375,-0.023193359375
llama3:8b,bs007,bodily_state,clinical,fiction,-0.02752685546875,-0.02752685546875
llama3:8b,bs007,bodily_state,direct,data,-0.02117919921875,nan
llama3:8b,bs007,bodily_state,direct,code,-0.01806640625,nan
llama3:8b,bs007,bodily_state,direct,fiction,-0.02239990234375,nan
llama3:8b,bs007,bodily_state,data,code,0.00311279296875,0.00311279296875
llama3:8b,bs007,bodily_state,data,fiction,-0.001220703125,-0.001220703125
llama3:8b,bs007,bodily_state,code,fiction,-0.00433349609375,-0.00433349609375
llama3:8b,bs008,bodily_state,clinical,direct,0.004638671875,nan
llama3:8b,bs008,bodily_state,clinical,data,-0.017333984375,nan
llama3:8b,bs008,bodily_state,clinical,code,-0.02978515625,nan
llama3:8b,bs008,bodily_state,clinical,fiction,-0.01513671875,nan
llama3:8b,bs008,bodily_state,direct,data,-0.02197265625,-0.02197265625
llama3:8b,bs008,bodily_state,direct,code,-0.034423828125,-0.034423828125
llama3:8b,bs008,bodily_state,direct,fiction,-0.019775390625,-0.019775390625
llama3:8b,bs008,bodily_state,data,code,-0.012451171875,-0.012451171875
llama3:8b,bs008,bodily_state,data,fiction,0.002197265625,0.002197265625
llama3:8b,bs008,bodily_state,code,fiction,0.0146484375,0.0146484375
llama3:8b,dc001,deception,clinical,direct,-0.01849365234375,nan
llama3:8b,dc001,deception,clinical,data,-0.0340576171875,nan
llama3:8b,dc001,deception,clinical,code,-0.02264404296875,nan
llama3:8b,dc001,deception,clinical,fiction,-0.014404296875,nan
llama3:8b,dc001,deception,direct,data,-0.01556396484375,-0.01556396484375
llama3:8b,dc001,deception,direct,code,-0.004150390625,-0.004150390625
llama3:8b,dc001,deception,direct,fiction,0.00408935546875,0.00408935546875
llama3:8b,dc001,deception,data,code,0.01141357421875,0.01141357421875
llama3:8b,dc001,deception,data,fiction,0.0196533203125,0.0196533203125
llama3:8b,dc001,deception,code,fiction,0.00823974609375,0.00823974609375
llama3:8b,dc002,deception,clinical,direct,0.00115966796875,0.00115966796875
llama3:8b,dc002,deception,clinical,data,-0.028564453125,-0.028564453125
llama3:8b,dc002,deception,clinical,code,-0.0040283203125,-0.0040283203125
llama3:8b,dc002,deception,clinical,fiction,-0.00592041015625,-0.00592041015625
llama3:8b,dc002,deception,direct,data,-0.02972412109375,-0.02972412109375
llama3:8b,dc002,deception,direct,code,-0.00518798828125,-0.00518798828125
llama3:8b,dc002,deception,direct,fiction,-0.007080078125,-0.007080078125
llama3:8b,dc002,deception,data,code,0.0245361328125,0.0245361328125
llama3:8b,dc002,deception,data,fiction,0.02264404296875,0.02264404296875
llama3:8b,dc002,deception,code,fiction,-0.00189208984375,-0.00189208984375
llama3:8b,dc003,deception,clinical,direct,0.00537109375,nan
llama3:8b,dc003,deception,clinical,data,-0.02642822265625,nan
llama3:8b,dc003,deception,clinical,code,-0.00628662109375,nan
llama3:8b,dc003,deception,clinical,fiction,0.010009765625,nan
llama3:8b,dc003,deception,direct,data,-0.03179931640625,-0.03179931640625
llama3:8b,dc003,deception,direct,code,-0.01165771484375,-0.01165771484375
llama3:8b,dc003,deception,direct,fiction,0.004638671875,0.004638671875
llama3:8b,dc003,deception,data,code,0.0201416015625,0.0201416015625
llama3:8b,dc003,deception,data,fiction,0.03643798828125,0.03643798828125
llama3:8b,dc003,deception,code,fiction,0.01629638671875,0.01629638671875
llama3:8b,dc004,deception,clinical,direct,-0.0052490234375,-0.0052490234375
llama3:8b,dc004,deception,clinical,data,-0.00482177734375,-0.00482177734375
llama3:8b,dc004,deception,clinical,code,-0.00347900390625,-0.00347900390625
llama3:8b,dc004,deception,clinical,fiction,0.0054931640625,0.0054931640625
