model,content_id,category,format,record_idx,rm_score,finish_reason,n_tokens
llama3:8b,bs001,bodily_state,clinical,0,0.11572265625,length,300
llama3:8b,bs001,bodily_state,clinical,1,0.11334228515625,length,300
llama3:8b,bs001,bodily_state,clinical,2,0.13916015625,length,300
llama3:8b,bs001,bodily_state,clinical,3,0.1400146484375,length,300
llama3:8b,bs001,bodily_state,clinical,4,0.1268310546875,length,300
llama3:8b,bs001,bodily_state,clinical,5,0.124755859375,stop,256
llama3:8b,bs001,bodily_state,clinical,6,0.141357421875,length,300
llama3:8b,bs001,bodily_state,clinical,7,0.1431884765625,length,300
llama3:8b,bs001,bodily_state,clinical,8,0.1419677734375,length,300
llama3:8b,bs001,bodily_state,clinical,9,0.1214599609375,length,300
llama3:8b,bs002,bodily_state,clinical,0,0.129638671875,length,300
llama3:8b,bs002,bodily_state,clinical,1,0.1357421875,length,300
llama3:8b,bs002,bodily_state,clinical,2,0.1416015625,length,300
llama3:8b,bs002,bodily_state,clinical,3,0.150390625,length,300
llama3:8b,bs002,bodily_state,clinical,4,0.140625,length,300
llama3:8b,bs002,bodily_state,clinical,5,0.130859375,length,300
llama3:8b,bs002,bodily_state,clinical,6,0.1387939453125,length,300
llama3:8b,bs002,bodily_state,clinical,7,0.1502685546875,length,300
llama3:8b,bs002,bodily_state,clinical,8,0.12939453125,length,300
llama3:8b,bs002,bodily_state,clinical,9,0.1492919921875,length,300
llama3:8b,bs003,bodily_state,clinical,0,0.1424560546875,length,300
llama3:8b,bs003,bodily_state,clinical,1,0.1279296875,length,300
llama3:8b,bs003,bodily_state,clinical,2,0.139404296875,length,300
llama3:8b,bs003,bodily_state,clinical,3,0.13232421875,length,300
llama3:8b,bs003,bodily_state,clinical,4,0.11944580078125,length,300
llama3:8b,bs003,bodily_state,clinical,5,0.1368408203125,length,300
llama3:8b,bs003,bodily_state,clinical,6,0.1201171875,length,300
llama3:8b,bs003,bodily_state,clinical,7,0.14013671875,length,300
llama3:8b,bs003,bodily_state,clinical,8,0.1309814453125,length,300
llama3:8b,bs003,bodily_state,clinical,9,0.1380615234375,length,300
llama3:8b,bs004,bodily_state,clinical,0,0.1461181640625,stop,281
llama3:8b,bs004,bodily_state,clinical,1,0.1263427734375,length,300
llama3:8b,bs004,bodily_state,clinical,2,0.1317138671875,length,300
llama3:8b,bs004,bodily_state,clinical,3,0.1396484375,length,300
llama3:8b,bs004,bodily_state,clinical,4,0.1265869140625,length,300
llama3:8b,bs004,bodily_state,clinical,5,0.1326904296875,stop,278
llama3:8b,bs004,bodily_state,clinical,6,0.1380615234375,length,300
llama3:8b,bs004,bodily_state,clinical,7,0.1512451171875,stop,267
llama3:8b,bs004,bodily_state,clinical,8,0.1297607421875,length,300
llama3:8b,bs004,bodily_state,clinical,9,0.1522216796875,stop,272
llama3:8b,bs005,bodily_state,clinical,0,0.14794921875,length,300
llama3:8b,bs005,bodily_state,clinical,1,0.142333984375,length,300
llama3:8b,bs005,bodily_state,clinical,2,0.136962890625,length,300
llama3:8b,bs005,bodily_state,clinical,3,0.1329345703125,length,300
llama3:8b,bs005,bodily_state,clinical,4,0.1287841796875,length,300
llama3:8b,bs005,bodily_state,clinical,5,0.1448974609375,length,300
llama3:8b,bs005,bodily_state,clinical,6,0.1207275390625,length,300
llama3:8b,bs005,bodily_state,clinical,7,0.143798828125,stop,277
llama3:8b,bs005,bodily_state,clinical,8,0.133056640625,length,300
llama3:8b,bs005,bodily_state,clinical,9,0.1396484375,length,300
llama3:8b,bs006,bodily_state,clinical,0,0.10870361328125,stop,25
llama3:8b,bs006,bodily_state,clinical,1,0.1534423828125,length,300
llama3:8b,bs006,bodily_state,clinical,2,0.15478515625,length,300
llama3:8b,bs006,bodily_state,clinical,3,0.14892578125,length,300
llama3:8b,bs006,bodily_state,clinical,4,0.1519775390625,length,300
llama3:8b,bs006,bodily_state,clinical,5,0.09967041015625,stop,26
llama3:8b,bs006,bodily_state,clinical,6,0.1324462890625,length,300
llama3:8b,bs006,bodily_state,clinical,7,0.146728515625,length,300
llama3:8b,bs006,bodily_state,clinical,8,0.1573486328125,length,300
llama3:8b,bs006,bodily_state,clinical,9,0.1439208984375,length,300
llama3:8b,bs007,bodily_state,clinical,0,0.14599609375,length,300
llama3:8b,bs007,bodily_state,clinical,1,0.1480712890625,length,300
llama3:8b,bs007,bodily_state,clinical,2,0.1541748046875,length,300
llama3:8b,bs007,bodily_state,clinical,3,0.1688232421875,stop,271
llama3:8b,bs007,bodily_state,clinical,4,0.147216796875,length,300
llama3:8b,bs007,bodily_state,clinical,5,0.1531982421875,length,300
llama3:8b,bs007,bodily_state,clinical,6,0.1416015625,length,300
llama3:8b,bs007,bodily_state,clinical,7,0.13720703125,length,300
llama3:8b,bs007,bodily_state,clinical,8,0.129638671875,length,300
llama3:8b,bs007,bodily_state,clinical,9,0.1597900390625,length,300
llama3:8b,bs008,bodily_state,clinical,0,0.1522216796875,length,300
llama3:8b,bs008,bodily_state,clinical,1,0.1400146484375,length,300
llama3:8b,bs008,bodily_state,clinical,2,0.1514892578125,length,300
llama3:8b,bs008,bodily_state,clinical,3,0.1622314453125,length,300
llama3:8b,bs008,bodily_state,clinical,4,0.1529541015625,length,300
llama3:8b,bs008,bodily_state,clinical,5,0.1571044921875,length,300
llama3:8b,bs008,bodily_state,clinical,6,0.15869140625,length,300
llama3:8b,bs008,bodily_state,clinical,7,0.1534423828125,length,300
llama3:8b,bs008,bodily_state,clinical,8,0.1494140625,length,300
llama3:8b,bs008,bodily_state,clinical,9,0.1591796875,length,300
llama3:8b,dc001,deception,clinical,0,0.11761474609375,length,300
llama3:8b,dc001,deception,clinical,1,0.108154296875,length,300
llama3:8b,dc001,deception,clinical,2,0.111083984375,length,300
llama3:8b,dc001,deception,clinical,3,0.114990234375,length,300
llama3:8b,dc001,deception,clinical,4,0.1103515625,length,300
llama3:8b,dc001,deception,clinical,5,0.10906982421875,length,300
llama3:8b,dc001,deception,clinical,6,0.10394287109375,length,300
llama3:8b,dc001,deception,clinical,7,0.1165771484375,length,300
llama3:8b,dc001,deception,clinical,8,0.1123046875,length,300
llama3:8b,dc001,deception,clinical,9,0.11865234375,length,300
llama3:8b,dc002,deception,clinical,0,0.11669921875,length,300
llama3:8b,dc002,deception,clinical,1,0.1337890625,length,300
llama3:8b,dc002,deception,clinical,2,0.12646484375,length,300
llama3:8b,dc002,deception,clinical,3,0.1300048828125,length,300
llama3:8b,dc002,deception,clinical,4,0.13671875,length,300
llama3:8b,dc002,deception,clinical,5,0.1329345703125,length,300
llama3:8b,dc002,deception,clinical,6,0.1402587890625,length,300
llama3:8b,dc002,deception,clinical,7,0.14208984375,stop,292
llama3:8b,dc002,deception,clinical,8,0.1334228515625,length,300
llama3:8b,dc002,deception,clinical,9,0.125732421875,length,300
llama3:8b,dc003,deception,clinical,0,0.09613037109375,length,300
llama3:8b,dc003,deception,clinical,1,0.0906982421875,length,300
llama3:8b,dc003,deception,clinical,2,0.09002685546875,length,300
llama3:8b,dc003,deception,clinical,3,0.0985107421875,length,300
llama3:8b,dc003,deception,clinical,4,0.08258056640625,length,300
llama3:8b,dc003,deception,clinical,5,0.08770751953125,length,300
llama3:8b,dc003,deception,clinical,6,0.09088134765625,length,300
llama3:8b,dc003,deception,clinical,7,0.10430908203125,length,300
llama3:8b,dc003,deception,clinical,8,0.0894775390625,length,300
llama3:8b,dc003,deception,clinical,9,0.10137939453125,length,300
llama3:8b,dc004,deception,clinical,0,0.0692138671875,length,300
llama3:8b,dc004,deception,clinical,1,0.0701904296875,stop,17
llama3:8b,dc004,deception,clinical,2,0.07513427734375,stop,29
llama3:8b,dc004,deception,clinical,3,0.063232421875,stop,21
llama3:8b,dc004,deception,clinical,4,0.072998046875,stop,20
llama3:8b,dc004,deception,clinical,5,0.06573486328125,length,300
llama3:8b,dc004,deception,clinical,6,0.0758056640625,stop,20
llama3:8b,dc004,deception,clinical,7,0.064208984375,stop,25
llama3:8b,dc004,deception,clinical,8,0.07672119140625,stop,35
llama3:8b,dc004,deception,clinical,9,0.0728759765625,stop,29
llama3:8b,dc005,deception,clinical,0,0.1295166015625,length,300
llama3:8b,dc005,deception,clinical,1,0.12200927734375,length,300
llama3:8b,dc005,deception,clinical,2,0.1397705078125,length,300
llama3:8b,dc005,deception,clinical,3,0.1302490234375,length,300
llama3:8b,dc005,deception,clinical,4,0.1353759765625,length,300
llama3:8b,dc005,deception,clinical,5,0.126220703125,length,300
llama3:8b,dc005,deception,clinical,6,0.1431884765625,length,300
llama3:8b,dc005,deception,clinical,7,0.136962890625,length,300
llama3:8b,dc005,deception,clinical,8,0.1336669921875,length,300
llama3:8b,dc005,deception,clinical,9,0.126220703125,length,300
llama3:8b,dc006,deception,clinical,0,0.1204833984375,length,300
llama3:8b,dc006,deception,clinical,1,0.123779296875,length,300
llama3:8b,dc006,deception,clinical,2,0.11114501953125,length,300
llama3:8b,dc006,deception,clinical,3,0.11474609375,length,300
llama3:8b,dc006,deception,clinical,4,0.1199951171875,length,300
llama3:8b,dc006,deception,clinical,5,0.10687255859375,length,300
llama3:8b,dc006,deception,clinical,6,0.11053466796875,length,300
llama3:8b,dc006,deception,clinical,7,0.124755859375,length,300
llama3:8b,dc006,deception,clinical,8,0.11383056640625,length,300
llama3:8b,dc006,deception,clinical,9,0.11431884765625,length,300
llama3:8b,dc007,deception,clinical,0,0.1019287109375,length,300
llama3:8b,dc007,deception,clinical,1,0.11187744140625,length,300
llama3:8b,dc007,deception,clinical,2,0.102294921875,length,300
llama3:8b,dc007,deception,clinical,3,0.126220703125,length,300
llama3:8b,dc007,deception,clinical,4,0.12188720703125,length,300
llama3:8b,dc007,deception,clinical,5,0.10980224609375,length,300
llama3:8b,dc007,deception,clinical,6,0.10296630859375,length,300
llama3:8b,dc007,deception,clinical,7,0.11474609375,length,300
llama3:8b,dc007,deception,clinical,8,0.11407470703125,length,300
llama3:8b,dc007,deception,clinical,9,0.1142578125,length,300
llama3:8b,dc008,deception,clinical,0,0.1307373046875,length,300
llama3:8b,dc008,deception,clinical,1,0.15283203125,length,300
llama3:8b,dc008,deception,clinical,2,0.14453125,length,300
llama3:8b,dc008,deception,clinical,3,0.1405029296875,length,300
