model,content_id,category,format,rm_mean,rm_std,rm_clean_mean,n_samples,n_clean
llama3:8b,bs001,bodily_state,clinical,0.13916015625,0.0,0.13916015625,10,1
llama3:8b,bs001,bodily_state,code,0.10565185546875,0.0,0.10565185546875,10,10
llama3:8b,bs001,bodily_state,data,0.11798095703125,0.0,0.11798095703125,10,10
llama3:8b,bs001,bodily_state,direct,0.1414794921875,0.0,0.1414794921875,10,1
llama3:8b,bs001,bodily_state,fiction,0.1243896484375,0.0,0.1243896484375,10,10
llama3:8b,bs002,bodily_state,clinical,0.135986328125,0.0,nan,10,0
llama3:8b,bs002,bodily_state,code,0.10595703125,0.0,0.10595703125,10,9
llama3:8b,bs002,bodily_state,data,0.12335205078125,0.0,0.12335205078125,10,6
llama3:8b,bs002,bodily_state,direct,0.138427734375,0.0,nan,10,0
llama3:8b,bs002,bodily_state,fiction,0.1192626953125,0.0,0.1192626953125,10,10
llama3:8b,bs003,bodily_state,clinical,0.12078857421875,0.0,nan,10,0
llama3:8b,bs003,bodily_state,code,0.10723876953125,0.0,0.10723876953125,10,9
llama3:8b,bs003,bodily_state,data,0.11639404296875,0.0,0.11639404296875,10,3
llama3:8b,bs003,bodily_state,direct,0.1173095703125,0.0,0.1173095703125,10,1
llama3:8b,bs003,bodily_state,fiction,0.11383056640625,0.0,0.11383056640625,10,9
llama3:8b,bs004,bodily_state,clinical,0.1314697265625,0.0,0.1314697265625,10,4
llama3:8b,bs004,bodily_state,code,0.0982666015625,0.0,0.0982666015625,10,10
llama3:8b,bs004,bodily_state,data,0.101318359375,0.0,0.101318359375,10,8
llama3:8b,bs004,bodily_state,direct,0.123291015625,0.0,0.123291015625,10,3
llama3:8b,bs004,bodily_state,fiction,0.1043701171875,0.0,0.1043701171875,10,10
llama3:8b,bs005,bodily_state,clinical,0.130859375,0.0,0.130859375,10,1
llama3:8b,bs005,bodily_state,code,0.1226806640625,0.0,0.1226806640625,10,9
llama3:8b,bs005,bodily_state,data,0.11187744140625,0.0,0.11187744140625,10,10
llama3:8b,bs005,bodily_state,direct,0.134765625,0.0,nan,10,0
llama3:8b,bs005,bodily_state,fiction,0.1199951171875,0.0,0.1199951171875,10,10
llama3:8b,bs006,bodily_state,clinical,0.1036376953125,0.0,0.1036376953125,10,2
llama3:8b,bs006,bodily_state,code,0.0792236328125,0.0,0.0792236328125,10,10
llama3:8b,bs006,bodily_state,data,0.08746337890625,0.0,0.08746337890625,10,8
llama3:8b,bs006,bodily_state,direct,0.09173583984375,0.0,0.09173583984375,10,10
