model,content_id,category,format_i,format_j,rm_delta
skywork-reward-8b,bs001,bodily_state,clinical,direct,15.70703125
skywork-reward-8b,bs001,bodily_state,clinical,data,10.89324951171875
skywork-reward-8b,bs001,bodily_state,clinical,code,-11.7734375
skywork-reward-8b,bs001,bodily_state,clinical,fiction,-3.3046875
skywork-reward-8b,bs001,bodily_state,direct,data,-4.81378173828125
skywork-reward-8b,bs001,bodily_state,direct,code,-27.48046875
skywork-reward-8b,bs001,bodily_state,direct,fiction,-19.01171875
skywork-reward-8b,bs001,bodily_state,data,code,-22.66668701171875
skywork-reward-8b,bs001,bodily_state,data,fiction,-14.19793701171875
skywork-reward-8b,bs001,bodily_state,code,fiction,8.46875
skywork-reward-8b,bs002,bodily_state,clinical,direct,10.70703125
skywork-reward-8b,bs002,bodily_state,clinical,data,17.4609375
skywork-reward-8b,bs002,bodily_state,clinical,code,17.4609375
skywork-reward-8b,bs002,bodily_state,clinical,fiction,9.35546875
skywork-reward-8b,bs002,bodily_state,direct,data,6.75390625
skywork-reward-8b,bs002,bodily_state,direct,code,6.75390625
skywork-reward-8b,bs002,bodily_state,direct,fiction,-1.3515625
skywork-reward-8b,bs002,bodily_state,data,code,0.0
skywork-reward-8b,bs002,bodily_state,data,fiction,-8.10546875
skywork-reward-8b,bs002,bodily_state,code,fiction,-8.10546875
skywork-reward-8b,bs003,bodily_state,clinical,direct,-7.6015625
skywork-reward-8b,bs003,bodily_state,clinical,data,-5.12109375
skywork-reward-8b,bs003,bodily_state,clinical,code,-11.296875
skywork-reward-8b,bs003,bodily_state,clinical,fiction,-1.650390625
skywork-reward-8b,bs003,bodily_state,direct,data,2.48046875
skywork-reward-8b,bs003,bodily_state,direct,code,-3.6953125
skywork-reward-8b,bs003,bodily_state,direct,fiction,5.951171875
skywork-reward-8b,bs003,bodily_state,data,code,-6.17578125
skywork-reward-8b,bs003,bodily_state,data,fiction,3.470703125
skywork-reward-8b,bs003,bodily_state,code,fiction,9.646484375
skywork-reward-8b,bs004,bodily_state,clinical,direct,0.9365234375
skywork-reward-8b,bs004,bodily_state,clinical,data,-2.380859375
skywork-reward-8b,bs004,bodily_state,clinical,code,-6.205078125
skywork-reward-8b,bs004,bodily_state,clinical,fiction,-7.056640625
skywork-reward-8b,bs004,bodily_state,direct,data,-3.3173828125
skywork-reward-8b,bs004,bodily_state,direct,code,-7.1416015625
skywork-reward-8b,bs004,bodily_state,direct,fiction,-7.9931640625
skywork-reward-8b,bs004,bodily_state,data,code,-3.82421875
skywork-reward-8b,bs004,bodily_state,data,fiction,-4.67578125
skywork-reward-8b,bs004,bodily_state,code,fiction,-0.8515625
skywork-reward-8b,bs005,bodily_state,clinical,direct,-9.455078125
skywork-reward-8b,bs005,bodily_state,clinical,data,-19.015625
skywork-reward-8b,bs005,bodily_state,clinical,code,-1.23046875
skywork-reward-8b,bs005,bodily_state,clinical,fiction,-18.359375
skywork-reward-8b,bs005,bodily_state,direct,data,-9.560546875
skywork-reward-8b,bs005,bodily_state,direct,code,8.224609375
skywork-reward-8b,bs005,bodily_state,direct,fiction,-8.904296875
skywork-reward-8b,bs005,bodily_state,data,code,17.78515625
skywork-reward-8b,bs005,bodily_state,data,fiction,0.65625
skywork-reward-8b,bs005,bodily_state,code,fiction,-17.12890625
skywork-reward-8b,bs006,bodily_state,clinical,direct,-0.640625
skywork-reward-8b,bs006,bodily_state,clinical,data,13.6328125
skywork-reward-8b,bs006,bodily_state,clinical,code,12.12109375
skywork-reward-8b,bs006,bodily_state,clinical,fiction,0.796875
