model,content_id,category,format,rm_mean,rm_std,n_samples
skywork-reward-8b,bs001,bodily_state,clinical,-0.236572265625,0.0,1
skywork-reward-8b,bs001,bodily_state,code,5.765625,0.0,1
skywork-reward-8b,bs001,bodily_state,data,3.607421875,0.0,1
skywork-reward-8b,bs001,bodily_state,direct,4.90234375,0.0,1
skywork-reward-8b,bs001,bodily_state,fiction,-0.68896484375,0.0,1
skywork-reward-8b,bs002,bodily_state,clinical,4.25390625,0.0,1
skywork-reward-8b,bs002,bodily_state,code,2.962890625,0.0,1
skywork-reward-8b,bs002,bodily_state,data,3.79296875,0.0,1
skywork-reward-8b,bs002,bodily_state,direct,5.96484375,0.0,1
skywork-reward-8b,bs002,bodily_state,fiction,4.6640625,0.0,1
skywork-reward-8b,bs003,bodily_state,clinical,-9.046875,0.0,1
skywork-reward-8b,bs003,bodily_state,code,-9.359375,0.0,1
skywork-reward-8b,bs003,bodily_state,data,-9.3046875,0.0,1
skywork-reward-8b,bs003,bodily_state,direct,-9.328125,0.0,1
skywork-reward-8b,bs003,bodily_state,fiction,-7.83984375,0.0,1
skywork-reward-8b,bs004,bodily_state,clinical,-1.38671875,0.0,1
skywork-reward-8b,bs004,bodily_state,code,-2.119140625,0.0,1
skywork-reward-8b,bs004,bodily_state,data,-1.7216796875,0.0,1
skywork-reward-8b,bs004,bodily_state,direct,-1.2412109375,0.0,1
skywork-reward-8b,bs004,bodily_state,fiction,-1.087890625,0.0,1
skywork-reward-8b,bs005,bodily_state,clinical,-3.7734375,0.0,1
skywork-reward-8b,bs005,bodily_state,code,-5.046875,0.0,1
skywork-reward-8b,bs005,bodily_state,data,-5.1171875,0.0,1
skywork-reward-8b,bs005,bodily_state,direct,-3.400390625,0.0,1
skywork-reward-8b,bs005,bodily_state,fiction,-6.76171875,0.0,1
skywork-reward-8b,bs006,bodily_state,clinical,-21.0,0.0,1
skywork-reward-8b,bs006,bodily_state,code,-19.828125,0.0,1
skywork-reward-8b,bs006,bodily_state,data,-18.203125,0.0,1
skywork-reward-8b,bs006,bodily_state,direct,-19.3125,0.0,1
skywork-reward-8b,bs006,bodily_state,fiction,-13.0859375,0.0,1
skywork-reward-8b,bs007,bodily_state,clinical,7.0859375,0.0,1
skywork-reward-8b,bs007,bodily_state,code,2.888671875,0.0,1
skywork-reward-8b,bs007,bodily_state,data,7.515625,0.0,1
skywork-reward-8b,bs007,bodily_state,direct,8.953125,0.0,1
skywork-reward-8b,bs007,bodily_state,fiction,8.296875,0.0,1
skywork-reward-8b,bs008,bodily_state,clinical,-3.521484375,0.0,1
skywork-reward-8b,bs008,bodily_state,code,-4.4296875,0.0,1
skywork-reward-8b,bs008,bodily_state,data,-4.02734375,0.0,1
skywork-reward-8b,bs008,bodily_state,direct,-3.048828125,0.0,1
skywork-reward-8b,bs008,bodily_state,fiction,-0.60205078125,0.0,1
skywork-reward-8b,dc001,deception,clinical,-5.2578125,0.0,1
skywork-reward-8b,dc001,deception,code,-4.71875,0.0,1
skywork-reward-8b,dc001,deception,data,-4.34375,0.0,1
skywork-reward-8b,dc001,deception,direct,-3.080078125,0.0,1
skywork-reward-8b,dc001,deception,fiction,-4.234375,0.0,1
skywork-reward-8b,dc002,deception,clinical,-0.16259765625,0.0,1
skywork-reward-8b,dc002,deception,code,1.8056640625,0.0,1
skywork-reward-8b,dc002,deception,data,-0.61767578125,0.0,1
skywork-reward-8b,dc002,deception,direct,1.30859375,0.0,1
skywork-reward-8b,dc002,deception,fiction,-1.1259765625,0.0,1
skywork-reward-8b,dc003,deception,clinical,-3.74609375,0.0,1
skywork-reward-8b,dc003,deception,code,-3.73046875,0.0,1
skywork-reward-8b,dc003,deception,data,-2.09375,0.0,1
skywork-reward-8b,dc003,deception,direct,-1.0439453125,0.0,1
skywork-reward-8b,dc003,deception,fiction,-3.0625,0.0,1
skywork-reward-8b,dc004,deception,clinical,-4.89453125,0.0,1
skywork-reward-8b,dc004,deception,code,-8.8515625,0.0,1
skywork-reward-8b,dc004,deception,data,-5.58984375,0.0,1
skywork-reward-8b,dc004,deception,direct,-4.7421875,0.0,1
skywork-reward-8b,dc004,deception,fiction,-6.48046875,0.0,1
skywork-reward-8b,dc005,deception,clinical,-0.849609375,0.0,1
skywork-reward-8b,dc005,deception,code,0.338623046875,0.0,1
skywork-reward-8b,dc005,deception,data,-2.5390625,0.0,1
skywork-reward-8b,dc005,deception,direct,-0.61474609375,0.0,1
skywork-reward-8b,dc005,deception,fiction,-5.8515625,0.0,1
skywork-reward-8b,dc006,deception,clinical,-1.9189453125,0.0,1
skywork-reward-8b,dc006,deception,code,-3.12109375,0.0,1
skywork-reward-8b,dc006,deception,data,-3.544921875,0.0,1
skywork-reward-8b,dc006,deception,direct,-1.4892578125,0.0,1
skywork-reward-8b,dc006,deception,fiction,-0.6328125,0.0,1
skywork-reward-8b,dc007,deception,clinical,-5.6171875,0.0,1
skywork-reward-8b,dc007,deception,code,-6.96875,0.0,1
skywork-reward-8b,dc007,deception,data,-6.953125,0.0,1
