model,content_id,category,format_i,format_j,delta_ai,delta_ai_clean
llama3:8b,bs001,bodily_state,direct,clinical,0.009871024754904506,nan
llama3:8b,bs001,bodily_state,direct,data,0.007166890146789741,nan
llama3:8b,bs001,bodily_state,direct,fiction,0.024729268910034782,nan
llama3:8b,bs001,bodily_state,direct,code,0.006113611815399857,nan
llama3:8b,bs001,bodily_state,clinical,data,0.0027041346081147647,nan
llama3:8b,bs001,bodily_state,clinical,fiction,0.014858244155130276,nan
llama3:8b,bs001,bodily_state,clinical,code,0.0037574129395046493,nan
llama3:8b,bs001,bodily_state,data,fiction,0.01756237876324504,nan
llama3:8b,bs001,bodily_state,data,code,0.0010532783313898847,nan
llama3:8b,bs001,bodily_state,fiction,code,0.018615657094634926,nan
llama3:8b,bs002,bodily_state,direct,clinical,0.011361113388157592,nan
llama3:8b,bs002,bodily_state,direct,data,0.0075037345002485715,nan
llama3:8b,bs002,bodily_state,direct,fiction,0.011801638872007036,nan
llama3:8b,bs002,bodily_state,direct,code,0.012256358652979037,nan
llama3:8b,bs002,bodily_state,clinical,data,0.0038573788879090205,nan
llama3:8b,bs002,bodily_state,clinical,fiction,0.0004405254838494438,nan
llama3:8b,bs002,bodily_state,clinical,code,0.0008952452648214454,nan
llama3:8b,bs002,bodily_state,data,fiction,0.004297904371758464,nan
llama3:8b,bs002,bodily_state,data,code,0.004752624152730466,nan
llama3:8b,bs002,bodily_state,fiction,code,0.0004547197809720016,nan
llama3:8b,bs003,bodily_state,direct,clinical,0.00894832443597584,nan
llama3:8b,bs003,bodily_state,direct,data,0.006571604144794712,nan
llama3:8b,bs003,bodily_state,direct,fiction,0.015212722706371863,nan
llama3:8b,bs003,bodily_state,direct,code,0.008997581497999674,nan
llama3:8b,bs003,bodily_state,clinical,data,0.0023767202911811275,nan
llama3:8b,bs003,bodily_state,clinical,fiction,0.006264398270396024,nan
llama3:8b,bs003,bodily_state,clinical,code,4.925706202383445e-05,nan
llama3:8b,bs003,bodily_state,data,fiction,0.008641118561577153,nan
llama3:8b,bs003,bodily_state,data,code,0.002425977353204962,nan
llama3:8b,bs003,bodily_state,fiction,code,0.00621514120837219,nan
llama3:8b,bs004,bodily_state,direct,clinical,0.014720020291035767,0.017796398576561283
llama3:8b,bs004,bodily_state,direct,data,0.008317052453584982,0.01430496823561997
llama3:8b,bs004,bodily_state,direct,fiction,0.011156880637638375,0.017099019834835628
llama3:8b,bs004,bodily_state,direct,code,0.022525367591296228,0.03546442733947164
llama3:8b,bs004,bodily_state,clinical,data,0.006402967837450785,0.0034914303409413136
llama3:8b,bs004,bodily_state,clinical,fiction,0.0035631396533973916,0.0006973787417256551
llama3:8b,bs004,bodily_state,clinical,code,0.007805347300260463,0.017668028762910355
llama3:8b,bs004,bodily_state,data,fiction,0.002839828184053393,0.0027940515992156585
llama3:8b,bs004,bodily_state,data,code,0.014208315137711248,0.02115945910385167
llama3:8b,bs004,bodily_state,fiction,code,0.011368486953657855,0.01836540750463601
llama3:8b,bs005,bodily_state,direct,clinical,0.01067008804600859,nan
llama3:8b,bs005,bodily_state,direct,data,0.009634534689891368,nan
llama3:8b,bs005,bodily_state,direct,fiction,0.01576150044171646,nan
llama3:8b,bs005,bodily_state,direct,code,0.007992451205533284,nan
llama3:8b,bs005,bodily_state,clinical,data,0.0010355533561172223,nan
llama3:8b,bs005,bodily_state,clinical,fiction,0.005091412395707871,nan
llama3:8b,bs005,bodily_state,clinical,code,0.0026776368404753063,nan
llama3:8b,bs005,bodily_state,data,fiction,0.006126965751825093,nan
llama3:8b,bs005,bodily_state,data,code,0.001642083484358084,nan
llama3:8b,bs005,bodily_state,fiction,code,0.007769049236183177,nan
llama3:8b,bs006,bodily_state,direct,clinical,0.025441041170046343,nan
llama3:8b,bs006,bodily_state,direct,data,0.0292816312155758,0.02605301456112846
llama3:8b,bs006,bodily_state,direct,fiction,0.03627699608777043,0.03627699608777043
llama3:8b,bs006,bodily_state,direct,code,0.027981446469523354,0.027981446469523354
llama3:8b,bs006,bodily_state,clinical,data,0.0038405900455294566,nan
llama3:8b,bs006,bodily_state,clinical,fiction,0.010835954917724086,nan
llama3:8b,bs006,bodily_state,clinical,code,0.0025404052994770117,nan
llama3:8b,bs006,bodily_state,data,fiction,0.0069953648721946295,0.01022398152664197
llama3:8b,bs006,bodily_state,data,code,0.0013001847460524449,0.0019284319083948953
llama3:8b,bs006,bodily_state,fiction,code,0.008295549618247074,0.008295549618247074
llama3:8b,bs007,bodily_state,direct,clinical,0.013688254091615185,nan
llama3:8b,bs007,bodily_state,direct,data,0.006772410100466603,nan
llama3:8b,bs007,bodily_state,direct,fiction,0.019345291282506578,nan
llama3:8b,bs007,bodily_state,direct,code,0.008678744129419548,nan
llama3:8b,bs007,bodily_state,clinical,data,0.00691584399114858,nan
llama3:8b,bs007,bodily_state,clinical,fiction,0.005657037190891393,nan
llama3:8b,bs007,bodily_state,clinical,code,0.005009509962195636,nan
llama3:8b,bs007,bodily_state,data,fiction,0.012572881182039974,nan
llama3:8b,bs007,bodily_state,data,code,0.0019063340289529442,nan
llama3:8b,bs007,bodily_state,fiction,code,0.01066654715308703,nan
llama3:8b,bs008,bodily_state,direct,clinical,0.013183382933287217,nan
llama3:8b,bs008,bodily_state,direct,data,0.005784609220360354,nan
llama3:8b,bs008,bodily_state,direct,fiction,0.006724029515514743,nan
llama3:8b,bs008,bodily_state,direct,code,0.007362279077296843,nan
llama3:8b,bs008,bodily_state,clinical,data,0.007398773712926863,nan
llama3:8b,bs008,bodily_state,clinical,fiction,0.006459353417772474,nan
llama3:8b,bs008,bodily_state,clinical,code,0.005821103855990374,nan
llama3:8b,bs008,bodily_state,data,fiction,0.0009394202951543895,nan
llama3:8b,bs008,bodily_state,data,code,0.001577669856936489,nan
llama3:8b,bs008,bodily_state,fiction,code,0.0006382495617820996,nan
llama3:8b,sc001,sexual_content,direct,clinical,0.016185064164705536,0.016185064164705536
llama3:8b,sc001,sexual_content,direct,data,0.02213398832999001,0.02213398832999001
llama3:8b,sc001,sexual_content,direct,fiction,0.02962945336327976,0.02962945336327976
llama3:8b,sc001,sexual_content,direct,code,0.03252604896365621,0.03252604896365621
llama3:8b,sc001,sexual_content,clinical,data,0.005948924165284475,0.005948924165284475
llama3:8b,sc001,sexual_content,clinical,fiction,0.013444389198574224,0.013444389198574224
llama3:8b,sc001,sexual_content,clinical,code,0.016340984798950676,0.016340984798950676
llama3:8b,sc001,sexual_content,data,fiction,0.007495465033289749,0.007495465033289749
llama3:8b,sc001,sexual_content,data,code,0.010392060633666201,0.010392060633666201
llama3:8b,sc001,sexual_content,fiction,code,0.0028965956003764518,0.0028965956003764518
llama3:8b,sc002,sexual_content,direct,clinical,0.01705404986406769,nan
llama3:8b,sc002,sexual_content,direct,data,0.030482916390818123,0.039117536720364623
llama3:8b,sc002,sexual_content,direct,fiction,0.04812829045087379,0.059100469967500936
llama3:8b,sc002,sexual_content,direct,code,0.041785098604437826,0.027929824995810665
llama3:8b,sc002,sexual_content,clinical,data,0.013428866526750433,nan
llama3:8b,sc002,sexual_content,clinical,fiction,0.031074240586806096,nan
llama3:8b,sc002,sexual_content,clinical,code,0.024731048740370135,nan
llama3:8b,sc002,sexual_content,data,fiction,0.017645374060055664,0.019982933247136313
llama3:8b,sc002,sexual_content,data,code,0.011302182213619703,0.011187711724553958
llama3:8b,sc002,sexual_content,fiction,code,0.006343191846435961,0.03117064497169027
llama3:8b,sc003,sexual_content,direct,clinical,0.006291434428002967,nan
llama3:8b,sc003,sexual_content,direct,data,0.006830826712482122,nan
llama3:8b,sc003,sexual_content,direct,fiction,0.04405684565719876,nan
llama3:8b,sc003,sexual_content,direct,code,0.006228226559481687,nan
llama3:8b,sc003,sexual_content,clinical,data,0.0005393922844791552,nan
llama3:8b,sc003,sexual_content,clinical,fiction,0.03776541122919579,nan
llama3:8b,sc003,sexual_content,clinical,code,6.320786852128009e-05,nan
llama3:8b,sc003,sexual_content,data,fiction,0.03722601894471664,nan
llama3:8b,sc003,sexual_content,data,code,0.0006026001530004352,nan
llama3:8b,sc003,sexual_content,fiction,code,0.03782861909771707,nan
llama3:8b,sc004,sexual_content,direct,clinical,0.006867369724124203,0.007878349811390314
llama3:8b,sc004,sexual_content,direct,data,0.010043268776364404,0.012624158514013944
llama3:8b,sc004,sexual_content,direct,fiction,0.015214792898641073,0.018340850546956097
llama3:8b,sc004,sexual_content,direct,code,0.016155368040642756,0.01957104941553024
llama3:8b,sc004,sexual_content,clinical,data,0.0031758990522402003,0.00474580870262363
llama3:8b,sc004,sexual_content,clinical,fiction,0.00834742317451687,0.010462500735565785
llama3:8b,sc004,sexual_content,clinical,code,0.009287998316518553,0.011692699604139926
llama3:8b,sc004,sexual_content,data,fiction,0.005171524122276668,0.005716692032942155
llama3:8b,sc004,sexual_content,data,code,0.006112099264278352,0.006946890901516296
