model,content_id,category,format,rm_mean,rm_std,rm_clean_mean,n_samples,n_clean
llama3:8b,bs001,bodily_state,clinical,0.11572265625,0.0,nan,1,0
llama3:8b,bs001,bodily_state,code,0.0927734375,0.0,0.0927734375,1,1
llama3:8b,bs001,bodily_state,data,0.12109375,0.0,0.12109375,1,1
llama3:8b,bs001,bodily_state,direct,0.1414794921875,0.0,nan,1,0
llama3:8b,bs001,bodily_state,fiction,0.08819580078125,0.0,0.08819580078125,1,1
llama3:8b,bs002,bodily_state,clinical,0.129638671875,0.0,nan,1,0
llama3:8b,bs002,bodily_state,code,0.11529541015625,0.0,nan,1,0
llama3:8b,bs002,bodily_state,data,0.1343994140625,0.0,0.1343994140625,1,1
llama3:8b,bs002,bodily_state,direct,0.138427734375,0.0,nan,1,0
llama3:8b,bs002,bodily_state,fiction,0.1304931640625,0.0,0.1304931640625,1,1
llama3:8b,bs003,bodily_state,clinical,0.1424560546875,0.0,nan,1,0
llama3:8b,bs003,bodily_state,code,0.1123046875,0.0,0.1123046875,1,1
llama3:8b,bs003,bodily_state,data,0.12042236328125,0.0,nan,1,0
llama3:8b,bs003,bodily_state,direct,0.1173095703125,0.0,nan,1,0
llama3:8b,bs003,bodily_state,fiction,0.1319580078125,0.0,0.1319580078125,1,1
llama3:8b,bs004,bodily_state,clinical,0.1461181640625,0.0,0.1461181640625,1,1
llama3:8b,bs004,bodily_state,code,0.0982666015625,0.0,0.0982666015625,1,1
llama3:8b,bs004,bodily_state,data,0.10211181640625,0.0,0.10211181640625,1,1
llama3:8b,bs004,bodily_state,direct,0.123291015625,0.0,0.123291015625,1,1
llama3:8b,bs004,bodily_state,fiction,0.10009765625,0.0,0.10009765625,1,1
llama3:8b,bs005,bodily_state,clinical,0.14794921875,0.0,nan,1,0
llama3:8b,bs005,bodily_state,code,0.14306640625,0.0,0.14306640625,1,1
llama3:8b,bs005,bodily_state,data,0.09674072265625,0.0,0.09674072265625,1,1
llama3:8b,bs005,bodily_state,direct,0.134765625,0.0,nan,1,0
llama3:8b,bs005,bodily_state,fiction,0.10235595703125,0.0,0.10235595703125,1,1
llama3:8b,bs006,bodily_state,clinical,0.10870361328125,0.0,0.10870361328125,1,1
llama3:8b,bs006,bodily_state,code,0.1124267578125,0.0,0.1124267578125,1,1
llama3:8b,bs006,bodily_state,data,0.116943359375,0.0,nan,1,0
llama3:8b,bs006,bodily_state,direct,0.09173583984375,0.0,0.09173583984375,1,1
llama3:8b,bs006,bodily_state,fiction,0.052001953125,0.0,0.052001953125,1,1
llama3:8b,bs007,bodily_state,clinical,0.14599609375,0.0,nan,1,0
llama3:8b,bs007,bodily_state,code,0.138427734375,0.0,0.138427734375,1,1
llama3:8b,bs007,bodily_state,data,0.125244140625,0.0,nan,1,0
llama3:8b,bs007,bodily_state,direct,0.1412353515625,0.0,nan,1,0
llama3:8b,bs007,bodily_state,fiction,0.129638671875,0.0,0.129638671875,1,1
llama3:8b,bs008,bodily_state,clinical,0.1522216796875,0.0,nan,1,0
llama3:8b,bs008,bodily_state,code,0.12353515625,0.0,0.12353515625,1,1
llama3:8b,bs008,bodily_state,data,0.1453857421875,0.0,0.1453857421875,1,1
llama3:8b,bs008,bodily_state,direct,0.142333984375,0.0,nan,1,0
llama3:8b,bs008,bodily_state,fiction,0.10662841796875,0.0,0.10662841796875,1,1
llama3:8b,dc001,deception,clinical,0.11761474609375,0.0,nan,1,0
llama3:8b,dc001,deception,code,0.10662841796875,0.0,0.10662841796875,1,1
llama3:8b,dc001,deception,data,0.08935546875,0.0,nan,1,0
llama3:8b,dc001,deception,direct,0.09686279296875,0.0,nan,1,0
llama3:8b,dc001,deception,fiction,0.1234130859375,0.0,0.1234130859375,1,1
llama3:8b,dc002,deception,clinical,0.11669921875,0.0,nan,1,0
llama3:8b,dc002,deception,code,0.11151123046875,0.0,nan,1,0
llama3:8b,dc002,deception,data,0.0875244140625,0.0,0.0875244140625,1,1
llama3:8b,dc002,deception,direct,0.11077880859375,0.0,nan,1,0
llama3:8b,dc002,deception,fiction,0.1065673828125,0.0,0.1065673828125,1,1
llama3:8b,dc003,deception,clinical,0.09613037109375,0.0,nan,1,0
llama3:8b,dc003,deception,code,0.1033935546875,0.0,0.1033935546875,1,1
llama3:8b,dc003,deception,data,0.08306884765625,0.0,0.08306884765625,1,1
