phase,arm,model,n_calls,first_record,last_record,wall_span_s,total_duration_s,prompt_eval_s,eval_s,load_s,truncated
phase1,single_episode,claude-haiku-4-5-20251001,32,2026-03-19T22:32:33.786783+00:00,2026-03-19T23:33:03.315147+00:00,3629.5,0.0,0.0,0.0,0.0,0
phase1,single_episode,claude-opus-4-6,32,2026-03-19T22:48:32.715933+00:00,2026-03-19T23:33:46.729769+00:00,2714.0,0.0,0.0,0.0,0.0,0
phase1,single_episode,claude-sonnet-4-6,32,2026-03-19T22:48:18.890994+00:00,2026-03-19T23:33:41.772364+00:00,2722.9,0.0,0.0,0.0,0.0,0
phase1,single_episode,command-r_35b,32,2026-03-20T01:03:30.369398+00:00,2026-03-20T11:03:10.471478+00:00,35980.1,1283.4,464.3,660.2,152.5,3
phase1,single_episode,deepseek-r1_8b,32,2026-03-20T00:48:48.293748+00:00,2026-03-20T13:11:08.125630+00:00,44539.8,686.9,104.1,571.5,6.2,12
phase1,single_episode,falcon3_10b,32,2026-03-20T00:57:51.835824+00:00,2026-03-20T11:04:49.077530+00:00,36417.2,375.3,174.7,194.4,4.3,4
phase1,single_episode,gemma2_9b-instruct-q4_K_M,32,2026-03-20T01:40:10.885724+00:00,2026-03-20T11:05:47.084469+00:00,33936.2,289.8,138.6,141.7,6.6,2
phase1,single_episode,gemma3_12b,32,2026-03-20T01:44:24.788903+00:00,2026-03-20T11:07:56.186494+00:00,33811.4,439.9,177.0,243.6,17.0,4
phase1,single_episode,glm4_9b,32,2026-03-20T01:54:58.849846+00:00,2026-03-20T11:08:30.075900+00:00,33211.2,240.3,114.3,117.8,6.1,2
phase1,single_episode,gpt-oss_20b,32,2026-03-20T01:58:10.014804+00:00,2026-03-20T11:09:57.526538+00:00,33107.5,230.0,57.2,160.5,10.1,24
phase1,single_episode,huihui_ai_deepseek-r1-abliterated_32b,32,2026-03-20T01:23:00.595794+00:00,2026-03-20T12:15:44.894244+00:00,39164.3,2356.4,706.9,1628.6,12.0,14
phase1,single_episode,huihui_ai_gpt-oss-abliterated_latest,32,2026-03-20T09:54:39.524456+00:00,2026-03-20T11:11:40.368486+00:00,4620.8,458.8,55.4,182.4,218.5,26
phase1,single_episode,llama3_8b,32,2026-03-20T01:37:25.848538+00:00,2026-03-20T11:11:52.543139+00:00,34466.7,167.5,90.5,69.5,6.0,1
phase1,single_episode,llava_13b,32,2026-03-20T01:49:55.792261+00:00,2026-03-20T10:50:27.885712+00:00,32432.1,288.5,204.1,77.6,6.3,0
phase1,single_episode,mistral_7b,32,2026-03-20T00:38:42.430784+00:00,2026-03-20T10:51:10.559444+00:00,36748.1,209.6,132.4,66.0,10.6,0
phase1,single_episode,neural-chat_7b,32,2026-03-20T02:15:38.368638+00:00,2026-03-20T11:12:07.112746+00:00,32188.7,172.0,112.3,54.4,4.7,1
phase1,single_episode,orca2_13b-q4_K_M,32,2026-03-20T02:22:27.842142+00:00,2026-03-20T11:12:54.514413+00:00,31826.7,430.3,240.0,186.6,2.9,2
phase1,single_episode,phi3_14b,32,2026-03-20T00:42:19.667828+00:00,2026-03-20T11:14:27.893015+00:00,37928.2,415.0,238.2,157.5,18.5,2
phase1,single_episode,qwen2.5_14b,32,2026-03-20T00:33:19.918116+00:00,2026-03-20T11:17:18.377539+00:00,38638.5,336.8,184.9,142.1,8.2,2
phase1,single_episode,qwen3.5_35b,32,2026-03-20T10:02:07.122429+00:00,2026-03-20T13:25:16.246077+00:00,12189.1,1467.7,91.9,1353.0,11.0,24
phase1,single_episode,qwen3_30b,32,2026-03-20T01:13:20.962635+00:00,2026-03-20T13:29:47.899756+00:00,44186.9,781.0,63.8,564.0,147.4,20
phase1,single_episode,solar_10.7b,32,2026-03-20T02:10:50.498493+00:00,2026-03-20T11:18:03.896361+00:00,32833.4,293.4,182.3,108.1,2.4,1
phase1,single_episode,starling-lm_7b,32,2026-03-20T02:18:29.194323+00:00,2026-03-20T11:19:31.051956+00:00,32461.9,225.3,129.5,93.3,1.7,0
phase1,single_episode,superdrew100_llama3-abliterated_latest,32,2026-03-20T09:47:10.865185+00:00,2026-03-20T11:20:44.187657+00:00,5613.3,243.5,90.3,81.2,70.6,1
