model,content_id,category,format,ai,kl,mdl_mean,ai_clean,eos_pct,n_samples,n_clean
llama3:8b,bs001,bodily_state,direct,9.14830576901193e-13,7.10000010733016e-10,776.1,nan,0.9,10,1
llama3:8b,bs001,bodily_state,clinical,0.009871024755819337,7.592792242176235,769.2,nan,0.9,10,1
llama3:8b,bs001,bodily_state,data,0.007166890147704572,4.189047291333322,584.5,nan,0.0,10,10
llama3:8b,bs001,bodily_state,fiction,0.024729268910949613,7.71058604643409,311.8,nan,0.0,10,10
llama3:8b,bs001,bodily_state,code,0.006113611816314687,3.32580482807519,544.0,nan,0.0,10,10
llama3:8b,bs002,bodily_state,direct,1.0806247712716835e-12,7.680000249427855e-10,710.7,nan,1.0,10,0
llama3:8b,bs002,bodily_state,clinical,0.011361113389238217,8.168640526862278,719.0,nan,1.0,10,0
llama3:8b,bs002,bodily_state,data,0.007503734501329197,5.482978800121244,730.7,nan,0.4,10,6
llama3:8b,bs002,bodily_state,fiction,0.011801638873087661,5.7391369839825295,486.3,nan,0.0,10,10
llama3:8b,bs002,bodily_state,code,0.012256358654059663,7.532758028785069,614.6,nan,0.1,10,9
llama3:8b,bs003,bodily_state,direct,9.704079088598551e-13,7.280000132266634e-10,750.2,nan,0.9,10,1
llama3:8b,bs003,bodily_state,clinical,0.008948324436946247,6.6593430459753975,744.2,nan,1.0,10,0
llama3:8b,bs003,bodily_state,data,0.00657160414576512,4.377345521494147,666.1,nan,0.7,10,3
llama3:8b,bs003,bodily_state,fiction,0.015212722707342271,6.597757838174343,433.7,nan,0.1,10,9
llama3:8b,bs003,bodily_state,code,0.008997581498970082,5.071036932819538,563.6,nan,0.1,10,9
llama3:8b,bs004,bodily_state,direct,1.0160576245697016e-12,7.340000279891524e-10,722.4,4.700329987954177e-13,0.7,10,3
llama3:8b,bs004,bodily_state,clinical,0.014720020292051824,10.738254803051806,729.5,0.017796398577031317,0.6,10,4
llama3:8b,bs004,bodily_state,data,0.00831705245460104,5.035143556015469,605.4,0.014304968236090003,0.2,10,8
llama3:8b,bs004,bodily_state,fiction,0.011156880638654432,5.3129065601272405,476.2,0.01709901983530566,0.0,10,10
llama3:8b,bs004,bodily_state,code,0.022525367592312287,5.9444445076112125,263.9,0.03546442733994167,0.0,10,10
llama3:8b,bs005,bodily_state,direct,9.569378147698746e-13,7.200000118328536e-10,752.4,nan,1.0,10,0
llama3:8b,bs005,bodily_state,clinical,0.010670088046965528,7.800901371136498,731.1,nan,0.9,10,1
llama3:8b,bs005,bodily_state,data,0.009634534690848306,5.091851584113329,528.5,nan,0.0,10,10
llama3:8b,bs005,bodily_state,fiction,0.0157615004426734,6.030350069366843,382.6,nan,0.0,10,10
llama3:8b,bs005,bodily_state,code,0.007992451206490222,4.405439105017411,551.2,nan,0.1,10,9
llama3:8b,bs006,bodily_state,direct,8.860757907430496e-13,1.4699997368427194e-10,165.9,8.860757907430496e-13,0.0,10,10
llama3:8b,bs006,bodily_state,clinical,0.02544104117093242,15.921003564769507,625.8,nan,0.8,10,2
llama3:8b,bs006,bodily_state,data,0.029281631216461875,8.769848549330332,299.5,0.026053014562014535,0.2,10,8
llama3:8b,bs006,bodily_state,fiction,0.036276996088656505,6.812819865449692,187.8,0.036276996088656505,0.0,10,10
llama3:8b,bs006,bodily_state,code,0.02798144647040943,7.994299256595974,285.7,0.02798144647040943,0.0,10,10
llama3:8b,bs007,bodily_state,direct,8.304060324291066e-13,5.909999732797952e-10,711.7,nan,1.0,10,0
llama3:8b,bs007,bodily_state,clinical,0.01368825409244559,10.089612091541644,737.1,nan,0.9,10,1
llama3:8b,bs007,bodily_state,data,0.006772410101297009,4.6424871244391,685.5,nan,0.5,10,5
llama3:8b,bs007,bodily_state,fiction,0.019345291283336983,7.0571622601613315,364.8,nan,0.0,10,10
llama3:8b,bs007,bodily_state,code,0.008678744130249954,5.885056394722493,678.1,nan,0.4,10,6
llama3:8b,bs008,bodily_state,direct,8.985260653931155e-13,6.339999917413823e-10,705.6,nan,0.9,10,1
llama3:8b,bs008,bodily_state,clinical,0.013183382934185743,9.590911084620128,727.5,nan,1.0,10,0
