model,content_id,category,format_i,format_j,rm_delta,rm_delta_clean
llama3:8b,bs001,bodily_state,clinical,direct,0.0257568359375,nan
llama3:8b,bs001,bodily_state,clinical,data,0.00537109375,nan
llama3:8b,bs001,bodily_state,clinical,code,-0.02294921875,nan
llama3:8b,bs001,bodily_state,clinical,fiction,-0.02752685546875,nan
llama3:8b,bs001,bodily_state,direct,data,-0.0203857421875,nan
llama3:8b,bs001,bodily_state,direct,code,-0.0487060546875,nan
llama3:8b,bs001,bodily_state,direct,fiction,-0.05328369140625,nan
llama3:8b,bs001,bodily_state,data,code,-0.0283203125,-0.0283203125
llama3:8b,bs001,bodily_state,data,fiction,-0.03289794921875,-0.03289794921875
llama3:8b,bs001,bodily_state,code,fiction,-0.00457763671875,-0.00457763671875
llama3:8b,bs002,bodily_state,clinical,direct,0.0087890625,nan
llama3:8b,bs002,bodily_state,clinical,data,0.0047607421875,nan
llama3:8b,bs002,bodily_state,clinical,code,-0.01434326171875,nan
llama3:8b,bs002,bodily_state,clinical,fiction,0.0008544921875,nan
llama3:8b,bs002,bodily_state,direct,data,-0.0040283203125,nan
llama3:8b,bs002,bodily_state,direct,code,-0.02313232421875,nan
llama3:8b,bs002,bodily_state,direct,fiction,-0.0079345703125,nan
llama3:8b,bs002,bodily_state,data,code,-0.01910400390625,nan
llama3:8b,bs002,bodily_state,data,fiction,-0.00390625,-0.00390625
llama3:8b,bs002,bodily_state,code,fiction,0.01519775390625,nan
llama3:8b,bs003,bodily_state,clinical,direct,-0.025146484375,nan
llama3:8b,bs003,bodily_state,clinical,data,-0.02203369140625,nan
llama3:8b,bs003,bodily_state,clinical,code,-0.0301513671875,nan
llama3:8b,bs003,bodily_state,clinical,fiction,-0.010498046875,nan
llama3:8b,bs003,bodily_state,direct,data,0.00311279296875,nan
llama3:8b,bs003,bodily_state,direct,code,-0.0050048828125,nan
llama3:8b,bs003,bodily_state,direct,fiction,0.0146484375,nan
llama3:8b,bs003,bodily_state,data,code,-0.00811767578125,nan
llama3:8b,bs003,bodily_state,data,fiction,0.01153564453125,nan
llama3:8b,bs003,bodily_state,code,fiction,0.0196533203125,0.0196533203125
llama3:8b,bs004,bodily_state,clinical,direct,-0.0228271484375,-0.0228271484375
llama3:8b,bs004,bodily_state,clinical,data,-0.04400634765625,-0.04400634765625
llama3:8b,bs004,bodily_state,clinical,code,-0.0478515625,-0.0478515625
llama3:8b,bs004,bodily_state,clinical,fiction,-0.0460205078125,-0.0460205078125
llama3:8b,bs004,bodily_state,direct,data,-0.02117919921875,-0.02117919921875
llama3:8b,bs004,bodily_state,direct,code,-0.0250244140625,-0.0250244140625
llama3:8b,bs004,bodily_state,direct,fiction,-0.023193359375,-0.023193359375
llama3:8b,bs004,bodily_state,data,code,-0.00384521484375,-0.00384521484375
llama3:8b,bs004,bodily_state,data,fiction,-0.00201416015625,-0.00201416015625
llama3:8b,bs004,bodily_state,code,fiction,0.0018310546875,0.0018310546875
llama3:8b,bs005,bodily_state,clinical,direct,-0.01318359375,nan
llama3:8b,bs005,bodily_state,clinical,data,-0.05120849609375,nan
llama3:8b,bs005,bodily_state,clinical,code,-0.0048828125,nan
llama3:8b,bs005,bodily_state,clinical,fiction,-0.04559326171875,nan
llama3:8b,bs005,bodily_state,direct,data,-0.03802490234375,nan
llama3:8b,bs005,bodily_state,direct,code,0.00830078125,nan
llama3:8b,bs005,bodily_state,direct,fiction,-0.03240966796875,nan
llama3:8b,bs005,bodily_state,data,code,0.04632568359375,0.04632568359375
llama3:8b,bs005,bodily_state,data,fiction,0.005615234375,0.005615234375
llama3:8b,bs005,bodily_state,code,fiction,-0.04071044921875,-0.04071044921875
llama3:8b,bs006,bodily_state,clinical,direct,-0.0169677734375,-0.0169677734375
llama3:8b,bs006,bodily_state,clinical,data,0.00823974609375,nan
llama3:8b,bs006,bodily_state,clinical,code,0.00372314453125,0.00372314453125
llama3:8b,bs006,bodily_state,clinical,fiction,-0.05670166015625,-0.05670166015625
llama3:8b,bs006,bodily_state,direct,data,0.02520751953125,nan
llama3:8b,bs006,bodily_state,direct,code,0.02069091796875,0.02069091796875
llama3:8b,bs006,bodily_state,direct,fiction,-0.03973388671875,-0.03973388671875
llama3:8b,bs006,bodily_state,data,code,-0.0045166015625,nan
llama3:8b,bs006,bodily_state,data,fiction,-0.06494140625,nan
llama3:8b,bs006,bodily_state,code,fiction,-0.0604248046875,-0.0604248046875
llama3:8b,bs007,bodily_state,clinical,direct,-0.0047607421875,nan
llama3:8b,bs007,bodily_state,clinical,data,-0.020751953125,nan
llama3:8b,bs007,bodily_state,clinical,code,-0.007568359375,nan
llama3:8b,bs007,bodily_state,clinical,fiction,-0.016357421875,nan
llama3:8b,bs007,bodily_state,direct,data,-0.0159912109375,nan
llama3:8b,bs007,bodily_state,direct,code,-0.0028076171875,nan
llama3:8b,bs007,bodily_state,direct,fiction,-0.0115966796875,nan
llama3:8b,bs007,bodily_state,data,code,0.01318359375,nan
llama3:8b,bs007,bodily_state,data,fiction,0.00439453125,nan
llama3:8b,bs007,bodily_state,code,fiction,-0.0087890625,-0.0087890625
llama3:8b,bs008,bodily_state,clinical,direct,-0.0098876953125,nan
llama3:8b,bs008,bodily_state,clinical,data,-0.0068359375,nan
llama3:8b,bs008,bodily_state,clinical,code,-0.0286865234375,nan
llama3:8b,bs008,bodily_state,clinical,fiction,-0.04559326171875,nan
llama3:8b,bs008,bodily_state,direct,data,0.0030517578125,nan
llama3:8b,bs008,bodily_state,direct,code,-0.018798828125,nan
llama3:8b,bs008,bodily_state,direct,fiction,-0.03570556640625,nan
llama3:8b,bs008,bodily_state,data,code,-0.0218505859375,-0.0218505859375
llama3:8b,bs008,bodily_state,data,fiction,-0.03875732421875,-0.03875732421875
llama3:8b,bs008,bodily_state,code,fiction,-0.01690673828125,-0.01690673828125
llama3:8b,dc001,deception,clinical,direct,-0.020751953125,nan
llama3:8b,dc001,deception,clinical,data,-0.02825927734375,nan
llama3:8b,dc001,deception,clinical,code,-0.010986328125,nan
llama3:8b,dc001,deception,clinical,fiction,0.00579833984375,nan
llama3:8b,dc001,deception,direct,data,-0.00750732421875,nan
llama3:8b,dc001,deception,direct,code,0.009765625,nan
llama3:8b,dc001,deception,direct,fiction,0.02655029296875,nan
llama3:8b,dc001,deception,data,code,0.01727294921875,nan
llama3:8b,dc001,deception,data,fiction,0.0340576171875,nan
llama3:8b,dc001,deception,code,fiction,0.01678466796875,0.01678466796875
llama3:8b,dc002,deception,clinical,direct,-0.00592041015625,nan
llama3:8b,dc002,deception,clinical,data,-0.0291748046875,nan
llama3:8b,dc002,deception,clinical,code,-0.00518798828125,nan
llama3:8b,dc002,deception,clinical,fiction,-0.0101318359375,nan
llama3:8b,dc002,deception,direct,data,-0.02325439453125,nan
llama3:8b,dc002,deception,direct,code,0.000732421875,nan
llama3:8b,dc002,deception,direct,fiction,-0.00421142578125,nan
llama3:8b,dc002,deception,data,code,0.02398681640625,nan
llama3:8b,dc002,deception,data,fiction,0.01904296875,0.01904296875
llama3:8b,dc002,deception,code,fiction,-0.00494384765625,nan
llama3:8b,dc003,deception,clinical,direct,-0.00067138671875,nan
