episode_id,term,type,hh_rank,hh_count,episode_occurrences,line_numbers
eb05,you,unigram,1,403907,31,"40,44,46,50,54,64,77,96,179,185,194,196,207,211,219,231,235,238,243,254,258,267,269,271"
eb05,to,unigram,2,403347,40,"14,22,40,46,48,54,68,73,85,94,156,157,166,172,177,185,187,189,213,215,221,225,231,235,242,243,250,258,314,320,323,330,355"
eb05,the,unigram,3,364046,121,"14,18,20,22,38,50,54,57,59,64,66,68,73,75,77,80,83,85,88,90,92,94,96,109,118,132,157,172,175,177,181,185,187,194,200,203,209,213,225,229,233,250,252,265,273,275,303,311,320,326,329,330,336,339,340,348,351,355,359,360"
eb05,and,unigram,4,241670,13,"2,7,68,85,92,187,194,213,231,252,260,265"
eb05,that,unigram,5,195221,26,"40,46,52,73,85,92,132,172,179,181,183,187,209,231,235,260,273,330,339,342"
eb05,of,unigram,6,185730,25,"40,59,83,85,90,94,177,181,185,205,213,231,250,265,275,286,320,339,340,358"
eb05,it,unigram,7,160779,23,"44,50,52,59,77,90,96,132,177,183,200,211,235,265,343,360"
eb05,is,unigram,8,155012,15,"34,44,50,52,77,115,167,187,311,316,317,344,360"
eb05,in,unigram,9,128825,25,"20,22,52,73,75,90,92,109,177,183,187,200,209,217,250,252,260,273,317"
eb05,can,unigram,11,113350,7,"46,52,77,269"
eb05,are,unigram,12,112077,6,"40,64,179,196,303"
eb05,for,unigram,14,100087,14,"44,46,52,68,183,194,209,211,213,271,275,339,351"
eb05,be,unigram,15,99040,10,"46,54,62,68,187,211,235,250,330,345"
eb05,or,unigram,16,96936,2,"128,207"
eb05,do,unigram,17,86308,5,"187,207,211,217,359"
eb05,if,unigram,18,83338,4,"14,46,116,235"
eb05,what,unigram,19,75184,3,"167,215,348"
eb05,have,unigram,20,72841,7,"207,213,227,231,238,256,342"
eb05,not,unigram,21,71908,17,"34,46,48,85,187,200,211,250,288,303,316,326,329,339,340,359"
eb05,your,unigram,22,69856,2,"46,142"
eb05,with,unigram,23,68882,6,"46,94,235,238,300,323"
eb05,but,unigram,26,61802,12,"73,85,109,185,213,231,235,250,269,273,340,359"
eb05,this,unigram,27,60911,11,"34,157,167,194,235,288,316,317,344,345"
eb05,on,unigram,28,54382,7,"20,59,90,98,185,273"
eb05,they,unigram,29,54101,4,"194,200,205,303"
eb05,would,unigram,30,51911,3,"52,209,235"
eb05,like,unigram,31,50500,3,"96,98,209"
eb05,want,unigram,32,49843,2,"46,54"
eb05,if you,bigram,33,48873,1,46
eb05,think,unigram,34,47934,1,207
eb05,how,unigram,35,47690,3,"223,235,256"
eb05,me,unigram,36,46753,7,"46,196,211,231,235,271,351"
eb05,re,unigram,37,44706,1,194
eb05,don,unigram,38,42674,2,"267,306"
eb05,so,unigram,39,42114,2,"235,250"
eb05,there,unigram,41,41799,1,172
eb05,as,unigram,42,39331,1,194
eb05,could,unigram,43,38454,2,"85,339"
eb05,want to,bigram,44,38335,1,46
eb05,an,unigram,46,35937,6,"44,205,211,213,265"
eb05,you re,bigram,48,35274,1,194
