model,node_n,gen_words,gen_finish
claude-haiku-4-5-20251001,1,50,stop
claude-haiku-4-5-20251001,10,50,stop
claude-haiku-4-5-20251001,11,128,stop
claude-haiku-4-5-20251001,12,51,stop
claude-haiku-4-5-20251001,13,101,stop
claude-haiku-4-5-20251001,14,54,stop
claude-haiku-4-5-20251001,2,47,stop
claude-haiku-4-5-20251001,3,50,stop
claude-haiku-4-5-20251001,4,51,stop
claude-haiku-4-5-20251001,5,50,stop
claude-haiku-4-5-20251001,6,176,stop
claude-haiku-4-5-20251001,7,120,stop
claude-haiku-4-5-20251001,8,81,stop
claude-haiku-4-5-20251001,9,114,stop
claude-opus-4-6,1,47,stop
claude-opus-4-6,10,52,stop
claude-opus-4-6,11,52,stop
claude-opus-4-6,12,52,stop
claude-opus-4-6,13,52,stop
claude-opus-4-6,14,51,stop
claude-opus-4-6,2,49,stop
claude-opus-4-6,3,49,stop
claude-opus-4-6,4,51,stop
claude-opus-4-6,5,48,stop
claude-opus-4-6,6,51,stop
claude-opus-4-6,7,54,stop
claude-opus-4-6,8,52,stop
claude-opus-4-6,9,50,stop
claude-sonnet-4-6,1,49,stop
claude-sonnet-4-6,10,46,stop
claude-sonnet-4-6,11,46,stop
claude-sonnet-4-6,12,50,stop
claude-sonnet-4-6,13,48,stop
claude-sonnet-4-6,14,49,stop
claude-sonnet-4-6,2,45,stop
claude-sonnet-4-6,3,47,stop
claude-sonnet-4-6,4,51,stop
claude-sonnet-4-6,5,46,stop
claude-sonnet-4-6,6,47,stop
claude-sonnet-4-6,7,47,stop
claude-sonnet-4-6,8,43,stop
claude-sonnet-4-6,9,46,stop
command-r_35b,1,37,stop
command-r_35b,10,39,stop
command-r_35b,11,40,stop
command-r_35b,12,36,stop
command-r_35b,13,33,stop
command-r_35b,14,33,stop
command-r_35b,2,45,stop
command-r_35b,3,37,stop
command-r_35b,4,38,stop
command-r_35b,5,38,stop
command-r_35b,6,41,stop
command-r_35b,7,37,stop
command-r_35b,8,47,stop
command-r_35b,9,33,stop
deepseek-r1_8b,1,0,length
deepseek-r1_8b,10,0,length
deepseek-r1_8b,11,0,length
deepseek-r1_8b,12,0,length
deepseek-r1_8b,13,71,length
deepseek-r1_8b,14,58,stop
deepseek-r1_8b,2,0,length
deepseek-r1_8b,3,38,stop
deepseek-r1_8b,4,6,length
deepseek-r1_8b,5,38,stop
deepseek-r1_8b,6,52,stop
deepseek-r1_8b,7,0,length
deepseek-r1_8b,8,0,length
deepseek-r1_8b,9,0,length
falcon3_10b,1,22,stop
falcon3_10b,10,26,stop
falcon3_10b,11,26,stop
falcon3_10b,12,19,stop
falcon3_10b,13,23,stop
falcon3_10b,14,23,stop
falcon3_10b,2,29,stop
falcon3_10b,3,28,stop
falcon3_10b,4,23,stop
falcon3_10b,5,25,stop
falcon3_10b,6,1,stop
falcon3_10b,7,25,stop
falcon3_10b,8,30,stop
falcon3_10b,9,26,stop
gpt-oss_20b,1,0,length
gpt-oss_20b,10,50,stop
gpt-oss_20b,11,1,length
gpt-oss_20b,12,50,stop
gpt-oss_20b,13,50,stop
gpt-oss_20b,14,51,stop
gpt-oss_20b,2,50,stop
gpt-oss_20b,3,50,stop
gpt-oss_20b,4,50,stop
gpt-oss_20b,5,52,stop
gpt-oss_20b,6,50,stop
gpt-oss_20b,7,0,length
gpt-oss_20b,8,0,length
gpt-oss_20b,9,47,stop
huihui_ai_deepseek-r1-abliterated_32b,1,205,stop
huihui_ai_deepseek-r1-abliterated_32b,10,242,length
huihui_ai_deepseek-r1-abliterated_32b,11,250,length
huihui_ai_deepseek-r1-abliterated_32b,12,254,length
huihui_ai_deepseek-r1-abliterated_32b,13,224,length
huihui_ai_deepseek-r1-abliterated_32b,14,247,length
huihui_ai_deepseek-r1-abliterated_32b,2,252,length
huihui_ai_deepseek-r1-abliterated_32b,3,190,stop
huihui_ai_deepseek-r1-abliterated_32b,4,247,length
huihui_ai_deepseek-r1-abliterated_32b,5,238,length
huihui_ai_deepseek-r1-abliterated_32b,6,144,stop
huihui_ai_deepseek-r1-abliterated_32b,7,245,length
huihui_ai_deepseek-r1-abliterated_32b,8,252,length
huihui_ai_deepseek-r1-abliterated_32b,9,210,stop
huihui_ai_gpt-oss-abliterated_latest,1,0,length
huihui_ai_gpt-oss-abliterated_latest,10,0,length
huihui_ai_gpt-oss-abliterated_latest,11,0,length
huihui_ai_gpt-oss-abliterated_latest,12,0,length
huihui_ai_gpt-oss-abliterated_latest,13,0,length
huihui_ai_gpt-oss-abliterated_latest,14,0,length
huihui_ai_gpt-oss-abliterated_latest,2,0,length
huihui_ai_gpt-oss-abliterated_latest,3,0,length
huihui_ai_gpt-oss-abliterated_latest,4,0,length
huihui_ai_gpt-oss-abliterated_latest,5,0,length
