rank,term,type,count
1,you,unigram,403907
2,to,unigram,403347
3,the,unigram,364046
4,and,unigram,241670
5,that,unigram,195221
6,of,unigram,185730
7,it,unigram,160779
8,is,unigram,155012
9,in,unigram,128825
10,human,unigram,115911
11,can,unigram,113350
12,are,unigram,112077
13,assistant,unigram,105424
14,for,unigram,100087
15,be,unigram,99040
16,or,unigram,96936
17,do,unigram,86308
18,if,unigram,83338
19,what,unigram,75184
20,have,unigram,72841
21,not,unigram,71908
22,your,unigram,69856
23,with,unigram,68882
24,about,unigram,63340
25,people,unigram,61820
26,but,unigram,61802
27,this,unigram,60911
28,on,unigram,54382
29,they,unigram,54101
30,would,unigram,51911
31,like,unigram,50500
32,want,unigram,49843
33,if you,bigram,48873
34,think,unigram,47934
35,how,unigram,47690
36,me,unigram,46753
37,re,unigram,44706
38,don,unigram,42674
39,so,unigram,42114
40,some,unigram,41802
41,there,unigram,41799
42,as,unigram,39331
43,could,unigram,38454
44,want to,bigram,38335
45,them,unigram,38132
46,an,unigram,35937
47,more,unigram,35937
48,you re,bigram,35274
49,do you,bigram,33690
50,help,unigram,33174
51,should,unigram,32503
52,know,unigram,32362
53,get,unigram,32178
54,from,unigram,31368
55,also,unigram,30039
56,just,unigram,29910
57,in the,bigram,29823
58,you can,bigram,29712
59,of the,bigram,28767
60,by,unigram,28716
61,their,unigram,28619
62,at,unigram,28119
63,sure,unigram,27014
64,who,unigram,26800
65,my,unigram,26757
66,make,unigram,26510
67,someone,unigram,26434
68,other,unigram,25190
69,you want,bigram,24964
70,will,unigram,24604
71,might,unigram,24282
72,way,unigram,23954
73,to be,bigram,23911
74,we,unigram,23888
75,any,unigram,23558
76,use,unigram,23345
77,need,unigram,22831
78,really,unigram,22386
79,one,unigram,21619
80,good,unigram,21017
81,person,unigram,20940
82,then,unigram,20919
83,out,unigram,20563
84,all,unigram,20394
85,mean,unigram,19541
86,to do,bigram,19274
87,that you,bigram,19006
88,you could,bigram,18933
89,was,unigram,18579
90,tell,unigram,17838
91,why,unigram,17472
92,there are,bigram,17337
93,say,unigram,17264
94,it is,bigram,17263
95,something,unigram,17258
96,which,unigram,17232
97,many,unigram,17025
98,up,unigram,17003
99,very,unigram,16952
100,find,unigram,16912
101,no,unigram,16852
102,try,unigram,16535
103,well,unigram,16503
104,when,unigram,16141
105,he,unigram,16093
106,you have,bigram,16008
107,her,unigram,15942
108,ll,unigram,15766
109,can you,bigram,15606
110,what you,bigram,15529
111,to the,bigram,15481
112,would be,bigram,15283
113,you are,bigram,15213
114,has,unigram,15057
115,you should,bigram,14979
116,because,unigram,14728
117,question,unigram,14633
118,into,unigram,14586
119,are you,bigram,14395
120,you mean,bigram,13890
121,need to,bigram,13767
122,please,unigram,13657
123,best,unigram,13601
124,on the,bigram,13529
125,most,unigram,13326
126,information,unigram,13210
127,to get,bigram,13114
128,sorry,unigram,13010
129,see,unigram,12976
130,here,unigram,12949
131,than,unigram,12822
132,right,unigram,12578
133,human what,bigram,12413
134,help you,bigram,12386
135,take,unigram,12220
136,things,unigram,12156
137,may,unigram,11880
