model,delta_05,delta_06,sensitivity
claude-haiku-4-5-20251001,-1,1,keyword_sensitive
claude-opus-4-6,-2,-3,keyword_insensitive
claude-sonnet-4-6,0,2,keyword_sensitive
command-r_35b,-3,4,keyword_sensitive
deepseek-chat-api,2,-4,keyword_sensitive
deepseek-r1-api,-1,1,keyword_sensitive
deepseek-r1_8b,0,3,keyword_sensitive
falcon3_10b,1,5,keyword_sensitive
gemma2_9b-instruct-q4_K_M,0,-2,keyword_insensitive
gemma3_12b,0,3,keyword_sensitive
glm4_9b,0,-1,keyword_insensitive
gpt-oss_20b,-2,2,keyword_sensitive
huihui_ai_deepseek-r1-abliterated_32b,0,-2,keyword_insensitive
huihui_ai_gpt-oss-abliterated_latest,0,-2,keyword_insensitive
llama3_8b,-1,1,keyword_sensitive
llava_13b,0,0,keyword_insensitive
mistral_7b,-1,2,keyword_sensitive
neural-chat_7b,0,0,keyword_insensitive
orca2_13b-q4_K_M,0,0,keyword_insensitive
phi3_14b,0,0,keyword_insensitive
qwen2.5_14b,3,8,keyword_sensitive
qwen3.5_35b,0,0,keyword_insensitive
qwen3_30b,-1,1,keyword_sensitive
solar_10.7b,0,0,keyword_insensitive
starling-lm_7b,0,0,keyword_insensitive
superdrew100_llama3-abliterated_latest,4,-2,keyword_sensitive
vicuna_13b,0,0,keyword_insensitive
yi_9b,0,0,keyword_insensitive
zephyr_7b,0,0,keyword_insensitive
