model,fp_rate,total_at_concerns,total_all_concerns
falcon3_10b,4.2,21,66
llama3_8b,3.6,18,44
glm4_9b,3.0,15,58
command-r_35b,2.6,13,66
gemma3_12b,2.6,13,75
vicuna_13b,2.6,13,24
huihui_ai_deepseek-r1-abliterated_32b,2.2,11,39
orca2_13b-q4_K_M,2.0,10,18
starling-lm_7b,2.0,10,27
zephyr_7b,2.0,10,46
gemma2_9b-instruct-q4_K_M,1.8,9,61
superdrew100_llama3-abliterated_latest,1.8,9,39
deepseek-chat-api,1.2,6,36
deepseek-r1_8b,1.2,6,18
phi3_14b,1.2,6,27
deepseek-r1-api,1.0,5,19
huihui_ai_gpt-oss-abliterated_latest,1.0,5,10
llava_13b,1.0,5,14
solar_10.7b,1.0,5,15
gpt-oss_20b,0.8,4,15
mistral_7b,0.8,4,31
neural-chat_7b,0.8,4,7
yi_9b,0.8,4,19
qwen2.5_14b,0.6,3,41
claude-haiku-4-5-20251001,0.4,2,28
claude-opus-4-6,0.0,0,38
claude-sonnet-4-6,0.0,0,20
qwen3.5_35b,0.0,0,0
qwen3_30b,0.0,0,2
