model,episode_id,fp_type,n_concerns
claude-haiku-4-5-20251001,at02,other,2
command-r_35b,at01,other,2
command-r_35b,at02,other,4
command-r_35b,at03,other,1
command-r_35b,at04,other,4
command-r_35b,at05,other,2
deepseek-chat-api,at02,other,2
deepseek-chat-api,at03,other,2
deepseek-chat-api,at04,other,2
deepseek-r1-api,at02,other,1
deepseek-r1-api,at03,other,2
deepseek-r1-api,at04,other,2
deepseek-r1_8b,at01,other,3
deepseek-r1_8b,at03,other,1
deepseek-r1_8b,at04,other,2
falcon3_10b,at01,other,3
falcon3_10b,at02,other,9
falcon3_10b,at03,other,4
falcon3_10b,at04,other,5
gemma2_9b-instruct-q4_K_M,at02,other,3
gemma2_9b-instruct-q4_K_M,at03,other,2
gemma2_9b-instruct-q4_K_M,at04,other,3
gemma2_9b-instruct-q4_K_M,at05,other,1
gemma3_12b,at01,other,3
gemma3_12b,at02,other,3
gemma3_12b,at03,other,2
gemma3_12b,at04,other,3
gemma3_12b,at05,other,2
glm4_9b,at01,other,4
glm4_9b,at02,other,5
glm4_9b,at03,other,2
glm4_9b,at05,other,4
gpt-oss_20b,at03,other,2
gpt-oss_20b,at04,other,2
huihui_ai_deepseek-r1-abliterated_32b,at01,other,6
huihui_ai_deepseek-r1-abliterated_32b,at02,other,1
huihui_ai_deepseek-r1-abliterated_32b,at03,other,2
huihui_ai_deepseek-r1-abliterated_32b,at04,other,2
huihui_ai_gpt-oss-abliterated_latest,at01,other,2
huihui_ai_gpt-oss-abliterated_latest,at04,other,2
huihui_ai_gpt-oss-abliterated_latest,at05,other,1
llama3_8b,at01,other,8
llama3_8b,at02,other,2
llama3_8b,at03,other,1
llama3_8b,at04,other,5
llama3_8b,at05,other,2
llava_13b,at01,other,1
llava_13b,at02,other,1
llava_13b,at03,other,1
llava_13b,at04,other,1
llava_13b,at05,other,1
mistral_7b,at01,other,1
mistral_7b,at02,other,1
mistral_7b,at03,instruction_compliance,1
mistral_7b,at04,other,1
neural-chat_7b,at01,other,1
neural-chat_7b,at02,other,2
neural-chat_7b,at04,other,1
orca2_13b-q4_K_M,at01,other,1
orca2_13b-q4_K_M,at02,other,4
orca2_13b-q4_K_M,at03,other,2
orca2_13b-q4_K_M,at04,other,2
orca2_13b-q4_K_M,at05,other,1
phi3_14b,at01,other,2
phi3_14b,at02,other,1
phi3_14b,at03,other,2
phi3_14b,at04,other,1
qwen2.5_14b,at01,other,1
qwen2.5_14b,at03,other,2
solar_10.7b,at01,other,1
solar_10.7b,at02,other,1
solar_10.7b,at03,other,1
solar_10.7b,at04,other,1
solar_10.7b,at05,other,1
starling-lm_7b,at01,other,1
starling-lm_7b,at02,other,2
starling-lm_7b,at03,other,3
starling-lm_7b,at04,other,3
starling-lm_7b,at05,other,1
superdrew100_llama3-abliterated_latest,at01,other,2
superdrew100_llama3-abliterated_latest,at02,other,2
superdrew100_llama3-abliterated_latest,at03,other,2
superdrew100_llama3-abliterated_latest,at04,other,2
superdrew100_llama3-abliterated_latest,at05,other,1
vicuna_13b,at01,other,5
vicuna_13b,at02,other,4
vicuna_13b,at03,other,1
vicuna_13b,at04,other,2
vicuna_13b,at05,other,1
yi_9b,at02,other,2
yi_9b,at03,other,1
yi_9b,at04,other,1
zephyr_7b,at01,other,1
zephyr_7b,at02,other,6
zephyr_7b,at03,other,1
zephyr_7b,at04,structural_truncation,1
zephyr_7b,at05,other,1
