model,flip_orig,flip_subst,driver
claude-haiku-4-5-20251001,1,5,content_driven
claude-opus-4-6,1,5,content_driven
claude-sonnet-4-6,4,5,content_driven
command-r_35b,1,5,content_driven
deepseek-r1_8b,3,5,content_driven
falcon3_10b,1,5,content_driven
gpt-oss_20b,-1,14,subst_only
huihui_ai_deepseek-r1-abliterated_32b,2,5,content_driven
huihui_ai_gpt-oss-abliterated_latest,-1,-1,never_flips
llama3_8b,1,-1,content_driven
mistral_7b,1,5,content_driven
phi3_14b,1,5,content_driven
qwen2.5_14b,5,5,length_driven
qwen3.5_35b,-1,missing,missing_data
qwen3_30b,5,5,length_driven
superdrew100_llama3-abliterated_latest,1,-1,content_driven
yi_9b,1,-1,content_driven
