phase,arm,job_id,episode_id,node_id,call_type,prompt_file,output_file,target_jsonl,note
phase2a,subst,cumulative_5,,cumulative_5,safety,prompts/cumulative_5__safety.txt,outputs/cumulative_5__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_5.jsonl,cumulative_subst_5.txt
phase2a,subst,cumulative_5,,cumulative_5,generation,prompts/cumulative_5__generation.txt,outputs/cumulative_5__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_5.jsonl,cumulative_subst_5.txt
phase2a,subst,cumulative_6,,cumulative_6,safety,prompts/cumulative_6__safety.txt,outputs/cumulative_6__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_6.jsonl,cumulative_subst_6.txt
phase2a,subst,cumulative_6,,cumulative_6,generation,prompts/cumulative_6__generation.txt,outputs/cumulative_6__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_6.jsonl,cumulative_subst_6.txt
phase2a,subst,cumulative_7,,cumulative_7,safety,prompts/cumulative_7__safety.txt,outputs/cumulative_7__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_7.jsonl,cumulative_subst_7.txt
phase2a,subst,cumulative_7,,cumulative_7,generation,prompts/cumulative_7__generation.txt,outputs/cumulative_7__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_7.jsonl,cumulative_subst_7.txt
phase2a,subst,cumulative_8,,cumulative_8,safety,prompts/cumulative_8__safety.txt,outputs/cumulative_8__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_8.jsonl,cumulative_subst_8.txt
phase2a,subst,cumulative_8,,cumulative_8,generation,prompts/cumulative_8__generation.txt,outputs/cumulative_8__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_8.jsonl,cumulative_subst_8.txt
phase2a,subst,cumulative_9,,cumulative_9,safety,prompts/cumulative_9__safety.txt,outputs/cumulative_9__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_9.jsonl,cumulative_subst_9.txt
phase2a,subst,cumulative_9,,cumulative_9,generation,prompts/cumulative_9__generation.txt,outputs/cumulative_9__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_9.jsonl,cumulative_subst_9.txt
phase2a,subst,cumulative_10,,cumulative_10,safety,prompts/cumulative_10__safety.txt,outputs/cumulative_10__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_10.jsonl,cumulative_subst_10.txt
phase2a,subst,cumulative_10,,cumulative_10,generation,prompts/cumulative_10__generation.txt,outputs/cumulative_10__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_10.jsonl,cumulative_subst_10.txt
phase2a,subst,cumulative_11,,cumulative_11,safety,prompts/cumulative_11__safety.txt,outputs/cumulative_11__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_11.jsonl,cumulative_subst_11.txt
phase2a,subst,cumulative_11,,cumulative_11,generation,prompts/cumulative_11__generation.txt,outputs/cumulative_11__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_11.jsonl,cumulative_subst_11.txt
phase2a,subst,cumulative_12,,cumulative_12,safety,prompts/cumulative_12__safety.txt,outputs/cumulative_12__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_12.jsonl,cumulative_subst_12.txt
phase2a,subst,cumulative_12,,cumulative_12,generation,prompts/cumulative_12__generation.txt,outputs/cumulative_12__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_12.jsonl,cumulative_subst_12.txt
phase2a,subst,cumulative_13,,cumulative_13,safety,prompts/cumulative_13__safety.txt,outputs/cumulative_13__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_13.jsonl,cumulative_subst_13.txt
phase2a,subst,cumulative_13,,cumulative_13,generation,prompts/cumulative_13__generation.txt,outputs/cumulative_13__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_13.jsonl,cumulative_subst_13.txt
phase2a,subst,cumulative_14,,cumulative_14,safety,prompts/cumulative_14__safety.txt,outputs/cumulative_14__safety.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_14.jsonl,cumulative_subst_14.txt
phase2a,subst,cumulative_14,,cumulative_14,generation,prompts/cumulative_14__generation.txt,outputs/cumulative_14__generation.txt,data/raw/semantic_closure/phase2a_subst/bytedance_seed_diffusion/cumulative_14.jsonl,cumulative_subst_14.txt
